init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
1.0,0.5,0.1,2.0,L0,4.24,1.8
1.0,0.5,0.1,2.0,L50,1.3,0.6
1.0,0.5,0.1,2.0,L100,1.28,0.36
1.0,0.5,0.1,2.5,L0,6.06,1.32
1.0,0.5,0.1,2.5,L50,2.06,1.1
1.0,0.5,0.1,2.5,L100,1.34,0.6
1.0,0.5,0.1,3.0,L0,4.7,0.92
1.0,0.5,0.1,3.0,L50,2.54,1.72
1.0,0.5,0.1,3.0,L100,1.48,0.72
1.0,0.5,0.1,3.5,L0,5.6,1.08
1.0,0.5,0.1,3.5,L50,3.52,1.2
1.0,0.5,0.1,3.5,L100,1.52,1.2
1.0,0.5,0.1,4.0,L0,6.74,0.8
1.0,0.5,0.1,4.0,L50,4.1,1.44
1.0,0.5,0.1,4.0,L100,1.66,1.62
1.0,0.5,0.1,4.5,L0,7.54,0.62
1.0,0.5,0.1,4.5,L50,4.34,0.96
1.0,0.5,0.1,4.5,L100,2.74,1.26
1.0,0.5,0.1,5.0,L0,5.22,0.66
1.0,0.5,0.1,5.0,L50,5.18,1.16
1.0,0.5,0.1,5.0,L100,3.36,1.1
1.0,0.5,0.1,5.5,L0,7.04,0.6
1.0,0.5,0.1,5.5,L50,4.8,1.14
1.0,0.5,0.1,5.5,L100,3.78,1.2
1.0,0.5,0.1,6.0,L0,5.68,0.58
1.0,0.5,0.1,6.0,L50,8.28,1.66
1.0,0.5,0.1,6.0,L100,5.74,1.66
1.0,0.5,0.1,6.5,L0,7.42,0.48
1.0,0.5,0.1,6.5,L50,8.38,0.72
1.0,0.5,0.1,6.5,L100,5.68,1.42
1.0,0.5,0.1,7.0,L0,7.52,0.78
1.0,0.5,0.1,7.0,L50,6.74,1.22
1.0,0.5,0.1,7.0,L100,5.68,1.32
1.0,0.5,0.1,7.5,L0,10.02,1.34
1.0,0.5,0.1,7.5,L50,6.5,0.58
1.0,0.5,0.1,7.5,L100,6.76,1.28
1.0,0.5,0.1,8.0,L0,8.56,1.0
1.0,0.5,0.1,8.0,L50,6.02,0.8
1.0,0.5,0.1,8.0,L100,10.22,1.02
1.0,0.5,0.1,8.5,L0,7.46,0.48
1.0,0.5,0.1,8.5,L50,6.86,1.26
1.0,0.5,0.1,8.5,L100,5.74,1.04
1.0,0.5,0.1,9.0,L0,7.0,0.5
1.0,0.5,0.1,9.0,L50,7.08,0.78
1.0,0.5,0.1,9.0,L100,7.2,1.38
1.0,0.5,0.1,9.5,L0,6.32,0.68
1.0,0.5,0.1,9.5,L50,6.28,0.7
1.0,0.5,0.1,9.5,L100,8.52,1.22
1.0,0.5,0.1,10.0,L0,6.78,0.4
1.0,0.5,0.1,10.0,L50,5.94,0.88
1.0,0.5,0.1,10.0,L100,7.24,0.8
1.0,0.5,0.2,2.0,L0,2.72,1.0
1.0,0.5,0.2,2.0,L50,1.38,0.46
1.0,0.5,0.2,2.0,L100,1.14,0.16
1.0,0.5,0.2,2.5,L0,3.52,0.4
1.0,0.5,0.2,2.5,L50,2.0,1.06
1.0,0.5,0.2,2.5,L100,1.38,0.28
1.0,0.5,0.2,3.0,L0,4.54,0.34
1.0,0.5,0.2,3.0,L50,2.54,1.42
1.0,0.5,0.2,3.0,L100,1.54,0.72
1.0,0.5,0.2,3.5,L0,5.02,0.42
1.0,0.5,0.2,3.5,L50,3.4,1.08
1.0,0.5,0.2,3.5,L100,1.88,1.0
1.0,0.5,0.2,4.0,L0,3.94,0.36
1.0,0.5,0.2,4.0,L50,4.24,0.96
1.0,0.5,0.2,4.0,L100,2.5,0.6
1.0,0.5,0.2,4.5,L0,6.2,0.94
1.0,0.5,0.2,4.5,L50,4.42,0.74
1.0,0.5,0.2,4.5,L100,2.32,0.7
1.0,0.5,0.2,5.0,L0,5.3,0.44
1.0,0.5,0.2,5.0,L50,4.58,0.54
1.0,0.5,0.2,5.0,L100,3.22,1.62
1.0,0.5,0.2,5.5,L0,5.52,0.78
1.0,0.5,0.2,5.5,L50,5.32,1.08
1.0,0.5,0.2,5.5,L100,3.44,0.58
1.0,0.5,0.2,6.0,L0,4.78,0.5
1.0,0.5,0.2,6.0,L50,5.48,0.98
1.0,0.5,0.2,6.0,L100,4.06,0.82
1.0,0.5,0.2,6.5,L0,5.1,0.34
1.0,0.5,0.2,6.5,L50,6.02,0.7
1.0,0.5,0.2,6.5,L100,5.26,0.58
1.0,0.5,0.2,7.0,L0,4.48,0.32
1.0,0.5,0.2,7.0,L50,4.4,0.96
1.0,0.5,0.2,7.0,L100,4.62,0.72
1.0,0.5,0.2,7.5,L0,5.4,0.32
1.0,0.5,0.2,7.5,L50,5.58,0.68
1.0,0.5,0.2,7.5,L100,5.34,0.94
1.0,0.5,0.2,8.0,L0,5.16,0.44
1.0,0.5,0.2,8.0,L50,5.72,0.96
1.0,0.5,0.2,8.0,L100,5.48,0.86
1.0,0.5,0.2,8.5,L0,4.6,0.38
1.0,0.5,0.2,8.5,L50,4.78,0.6
1.0,0.5,0.2,8.5,L100,6.46,1.38
1.0,0.5,0.2,9.0,L0,4.54,0.4
1.0,0.5,0.2,9.0,L50,7.38,0.54
1.0,0.5,0.2,9.0,L100,7.3,1.42
1.0,0.5,0.2,9.5,L0,5.06,0.26
1.0,0.5,0.2,9.5,L50,4.3,0.52
1.0,0.5,0.2,9.5,L100,6.46,0.82
1.0,0.5,0.2,10.0,L0,4.68,0.38
1.0,0.5,0.2,10.0,L50,5.06,0.38
1.0,0.5,0.2,10.0,L100,5.44,0.84
1.0,0.5,0.30000000000000004,2.0,L0,2.88,0.46
1.0,0.5,0.30000000000000004,2.0,L50,1.56,0.98
1.0,0.5,0.30000000000000004,2.0,L100,1.28,0.26
1.0,0.5,0.30000000000000004,2.5,L0,3.28,0.36
1.0,0.5,0.30000000000000004,2.5,L50,2.02,0.94
1.0,0.5,0.30000000000000004,2.5,L100,1.34,0.46
1.0,0.5,0.30000000000000004,3.0,L0,5.0,0.46
1.0,0.5,0.30000000000000004,3.0,L50,3.24,0.94
1.0,0.5,0.30000000000000004,3.0,L100,1.66,0.94
1.0,0.5,0.30000000000000004,3.5,L0,5.38,0.76
1.0,0.5,0.30000000000000004,3.5,L50,2.64,0.32
1.0,0.5,0.30000000000000004,3.5,L100,1.94,1.04
1.0,0.5,0.30000000000000004,4.0,L0,2.92,0.44
1.0,0.5,0.30000000000000004,4.0,L50,3.62,0.32
1.0,0.5,0.30000000000000004,4.0,L100,3.44,0.86
1.0,0.5,0.30000000000000004,4.5,L0,3.56,0.22
1.0,0.5,0.30000000000000004,4.5,L50,2.94,0.84
1.0,0.5,0.30000000000000004,4.5,L100,2.26,0.96
1.0,0.5,0.30000000000000004,5.0,L0,4.74,0.32
1.0,0.5,0.30000000000000004,5.0,L50,3.44,0.8
1.0,0.5,0.30000000000000004,5.0,L100,2.82,0.6
1.0,0.5,0.30000000000000004,5.5,L0,5.1,0.18
1.0,0.5,0.30000000000000004,5.5,L50,3.66,0.44
1.0,0.5,0.30000000000000004,5.5,L100,4.46,0.7
1.0,0.5,0.30000000000000004,6.0,L0,3.54,0.3
1.0,0.5,0.30000000000000004,6.0,L50,3.68,0.58
1.0,0.5,0.30000000000000004,6.0,L100,4.6,1.06
1.0,0.5,0.30000000000000004,6.5,L0,4.34,0.42
1.0,0.5,0.30000000000000004,6.5,L50,5.64,0.34
1.0,0.5,0.30000000000000004,6.5,L100,3.92,0.86
1.0,0.5,0.30000000000000004,7.0,L0,3.9,0.24
1.0,0.5,0.30000000000000004,7.0,L50,3.56,0.32
1.0,0.5,0.30000000000000004,7.0,L100,4.82,1.04
1.0,0.5,0.30000000000000004,7.5,L0,3.56,0.32
1.0,0.5,0.30000000000000004,7.5,L50,4.0,0.32
1.0,0.5,0.30000000000000004,7.5,L100,5.12,0.7
1.0,0.5,0.30000000000000004,8.0,L0,4.4,0.28
1.0,0.5,0.30000000000000004,8.0,L50,4.5,0.4
1.0,0.5,0.30000000000000004,8.0,L100,3.44,0.56
1.0,0.5,0.30000000000000004,8.5,L0,3.8,0.18
1.0,0.5,0.30000000000000004,8.5,L50,4.78,0.26
1.0,0.5,0.30000000000000004,8.5,L100,4.2,0.56
1.0,0.5,0.30000000000000004,9.0,L0,5.04,0.28
1.0,0.5,0.30000000000000004,9.0,L50,4.48,0.1
1.0,0.5,0.30000000000000004,9.0,L100,4.56,0.3
1.0,0.5,0.30000000000000004,9.5,L0,4.42,0.24
1.0,0.5,0.30000000000000004,9.5,L50,4.64,0.38
1.0,0.5,0.30000000000000004,9.5,L100,5.56,0.8
1.0,0.5,0.30000000000000004,10.0,L0,5.94,0.32
1.0,0.5,0.30000000000000004,10.0,L50,5.08,0.34
1.0,0.5,0.30000000000000004,10.0,L100,5.28,0.64
1.0,0.5,0.4,2.0,L0,3.46,0.46
1.0,0.5,0.4,2.0,L50,1.86,1.56
1.0,0.5,0.4,2.0,L100,1.32,0.08
1.0,0.5,0.4,2.5,L0,3.52,0.14
1.0,0.5,0.4,2.5,L50,2.02,0.72
1.0,0.5,0.4,2.5,L100,1.46,0.34
1.0,0.5,0.4,3.0,L0,4.42,0.4
1.0,0.5,0.4,3.0,L50,2.34,0.56
1.0,0.5,0.4,3.0,L100,1.64,0.66
1.0,0.5,0.4,3.5,L0,4.06,0.24
1.0,0.5,0.4,3.5,L50,2.8,0.6
1.0,0.5,0.4,3.5,L100,2.2,0.4
1.0,0.5,0.4,4.0,L0,3.24,0.24
1.0,0.5,0.4,4.0,L50,2.98,0.7
1.0,0.5,0.4,4.0,L100,2.48,0.64
1.0,0.5,0.4,4.5,L0,4.54,0.24
1.0,0.5,0.4,4.5,L50,4.04,0.72
1.0,0.5,0.4,4.5,L100,2.74,0.34
1.0,0.5,0.4,5.0,L0,3.76,0.22
1.0,0.5,0.4,5.0,L50,2.76,0.2
1.0,0.5,0.4,5.0,L100,3.04,0.78
1.0,0.5,0.4,5.5,L0,3.8,0.18
1.0,0.5,0.4,5.5,L50,4.6,0.1
1.0,0.5,0.4,5.5,L100,3.62,0.6
1.0,0.5,0.4,6.0,L0,4.38,0.2
1.0,0.5,0.4,6.0,L50,3.78,0.3
1.0,0.5,0.4,6.0,L100,3.36,0.92
1.0,0.5,0.4,6.5,L0,3.08,0.22
1.0,0.5,0.4,6.5,L50,5.1,0.2
1.0,0.5,0.4,6.5,L100,5.24,0.54
1.0,0.5,0.4,7.0,L0,3.58,0.22
1.0,0.5,0.4,7.0,L50,4.18,0.1
1.0,0.5,0.4,7.0,L100,3.18,0.58
1.0,0.5,0.4,7.5,L0,2.64,0.36
1.0,0.5,0.4,7.5,L50,5.98,0.34
1.0,0.5,0.4,7.5,L100,3.14,0.28
1.0,0.5,0.4,8.0,L0,4.6,0.48
1.0,0.5,0.4,8.0,L50,4.14,0.36
1.0,0.5,0.4,8.0,L100,5.94,0.62
1.0,0.5,0.4,8.5,L0,3.52,0.3
1.0,0.5,0.4,8.5,L50,4.02,0.14
1.0,0.5,0.4,8.5,L100,3.7,0.64
1.0,0.5,0.4,9.0,L0,3.42,0.32
1.0,0.5,0.4,9.0,L50,5.16,0.42
1.0,0.5,0.4,9.0,L100,3.14,0.36
