init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
,,,,,,
1,0.5,0.1,2,L0,2.9,1
,,,,,,
1,0.5,0.1,2,L50,1,0.7
,,,,,,
1,0.5,0.1,2,L100,1,0.4
,,,,,,
1,0.5,0.1,2.5,L0,2.3,2
,,,,,,
1,0.5,0.1,2.5,L50,1.7,1.2
,,,,,,
1,0.5,0.1,2.5,L100,1,0.7
,,,,,,
1,0.5,0.1,3,L0,3.1,2.7
,,,,,,
1,0.5,0.1,3,L50,2.2,3
,,,,,,
1,0.5,0.1,3,L100,1.8,0.4
,,,,,,
1,0.5,0.1,3.5,L0,3,0.7
,,,,,,
1,0.5,0.1,3.5,L50,2.1,1.6
,,,,,,
1,0.5,0.1,3.5,L100,1.6,0.6
,,,,,,
1,0.5,0.1,4,L0,2.4,0.8
,,,,,,
1,0.5,0.1,4,L50,5.1,1.6
,,,,,,
1,0.5,0.1,4,L100,1.8,1.9
,,,,,,
1,0.5,0.1,4.5,L0,3,0.7
,,,,,,
1,0.5,0.1,4.5,L50,1.9,1.7
,,,,,,
1,0.5,0.1,4.5,L100,3.6,1.7
,,,,,,
1,0.5,0.1,5,L0,3.2,0.4
,,,,,,
1,0.5,0.1,5,L50,2.8,1.3
,,,,,,
1,0.5,0.1,5,L100,4.1,1.2
,,,,,,
1,0.5,0.1,5.5,L0,3.5,0.7
,,,,,,
1,0.5,0.1,5.5,L50,2.2,0.8
,,,,,,
1,0.5,0.1,5.5,L100,3.9,0.3
,,,,,,
1,0.5,0.1,6,L0,5.7,0.8
,,,,,,
1,0.5,0.1,6,L50,4.6,1.5
,,,,,,
1,0.5,0.1,6,L100,1.4,1.7
,,,,,,
1,0.5,0.1,6.5,L0,3.8,0.6
,,,,,,
1,0.5,0.1,6.5,L50,3.4,1.4
,,,,,,
1,0.5,0.1,6.5,L100,2,0.8
,,,,,,
1,0.5,0.1,7,L0,4.5,1.1
,,,,,,
1,0.5,0.1,7,L50,7,0.6
,,,,,,
1,0.5,0.1,7,L100,5.5,1.1
,,,,,,
1,0.5,0.1,7.5,L0,5.8,0.6
,,,,,,
1,0.5,0.1,7.5,L50,8.9,2.4
,,,,,,
1,0.5,0.1,7.5,L100,6.3,1.7
,,,,,,
1,0.5,0.1,8,L0,5.4,0.1
,,,,,,
1,0.5,0.1,8,L50,5.3,1.5
,,,,,,
1,0.5,0.1,8,L100,4.8,2
,,,,,,
1,0.5,0.1,8.5,L0,6.1,0.4
,,,,,,
1,0.5,0.1,8.5,L50,4.9,1.6
,,,,,,
1,0.5,0.1,8.5,L100,3.5,2.3
,,,,,,
1,0.5,0.1,9,L0,5.8,0.5
,,,,,,
1,0.5,0.1,9,L50,4.3,0.4
,,,,,,
1,0.5,0.1,9,L100,5.3,1.5
,,,,,,
1,0.5,0.1,9.5,L0,5.2,0.5
,,,,,,
1,0.5,0.1,9.5,L50,8.5,0.9
,,,,,,
1,0.5,0.1,9.5,L100,4.7,1.1
,,,,,,
1,0.5,0.1,10,L0,5.9,0.5
,,,,,,
1,0.5,0.1,10,L50,5.1,0.9
,,,,,,
1,0.5,0.1,10,L100,4.4,2.5
,,,,,,
1,0.5,0.2,2,L0,2.3,1.5
,,,,,,
1,0.5,0.2,2,L50,1.4,0.2
,,,,,,
1,0.5,0.2,2,L100,1.6,0.1
,,,,,,
1,0.5,0.2,2.5,L0,1.8,1.7
,,,,,,
1,0.5,0.2,2.5,L50,2.3,1.3
,,,,,,
1,0.5,0.2,2.5,L100,1,0.3
,,,,,,
1,0.5,0.2,3,L0,2.2,0.3
,,,,,,
1,0.5,0.2,3,L50,1.6,1.7
,,,,,,
1,0.5,0.2,3,L100,2.1,0.8
,,,,,,
1,0.5,0.2,3.5,L0,2,0.7
,,,,,,
1,0.5,0.2,3.5,L50,2.2,1.1
,,,,,,
1,0.5,0.2,3.5,L100,1.9,1
,,,,,,
1,0.5,0.2,4,L0,2.5,0.6
,,,,,,
1,0.5,0.2,4,L50,2.1,0.1
,,,,,,
1,0.5,0.2,4,L100,3.3,1.6
,,,,,,
1,0.5,0.2,4.5,L0,4.2,0.9
,,,,,,
1,0.5,0.2,4.5,L50,3.1,1.7
,,,,,,
1,0.5,0.2,4.5,L100,2.4,1.4
,,,,,,
1,0.5,0.2,5,L0,4.1,0.6
,,,,,,
1,0.5,0.2,5,L50,2.4,1
,,,,,,
1,0.5,0.2,5,L100,1.7,0.5
,,,,,,
1,0.5,0.2,5.5,L0,3,0.5
,,,,,,
1,0.5,0.2,5.5,L50,3.1,1.1
,,,,,,
1,0.5,0.2,5.5,L100,4.9,0.1
,,,,,,
1,0.5,0.2,6,L0,3.2,0.1
,,,,,,
1,0.5,0.2,6,L50,1.7,0.6
,,,,,,
1,0.5,0.2,6,L100,2.3,1.4
,,,,,,
1,0.5,0.2,6.5,L0,4.6,0.5
,,,,,,
1,0.5,0.2,6.5,L50,2.7,0.6
,,,,,,
1,0.5,0.2,6.5,L100,4.2,0.5
,,,,,,
1,0.5,0.2,7,L0,3.7,0.4
,,,,,,
1,0.5,0.2,7,L50,4.8,0.8
,,,,,,
1,0.5,0.2,7,L100,3.2,1.6
,,,,,,
1,0.5,0.2,7.5,L0,3.3,0.2
,,,,,,
1,0.5,0.2,7.5,L50,3.6,0.1
,,,,,,
1,0.5,0.2,7.5,L100,2.8,0.7
,,,,,,
1,0.5,0.2,8,L0,2.6,0.4
,,,,,,
1,0.5,0.2,8,L50,3.1,0.5
,,,,,,
1,0.5,0.2,8,L100,3.5,0.6
,,,,,,
1,0.5,0.2,8.5,L0,3.9,0.2
,,,,,,
1,0.5,0.2,8.5,L50,4,0.7
,,,,,,
1,0.5,0.2,8.5,L100,2,3.6
,,,,,,
1,0.5,0.2,9,L0,5.8,0.3
,,,,,,
1,0.5,0.2,9,L50,4.4,0.6
