init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.5,1.0,L0,6.8,0.3
2.0,0.5,0.5,1.0,L50,7.04,0.26
2.0,0.5,0.5,1.0,L100,6.96,0.24
2.0,0.5,0.5,1.5,L0,7.92,1.34
2.0,0.5,0.5,1.5,L50,7.44,0.44
2.0,0.5,0.5,1.5,L100,7.68,0.38
2.0,0.5,0.5,2.0,L0,8.4,0.98
2.0,0.5,0.5,2.0,L50,8.16,0.76
2.0,0.5,0.5,2.0,L100,7.36,0.38
2.0,0.5,0.5,2.5,L0,8.48,1.58
2.0,0.5,0.5,2.5,L50,7.28,0.78
2.0,0.5,0.5,2.5,L100,7.28,0.44
2.0,0.5,0.5,3.0,L0,9.2,1.5
2.0,0.5,0.5,3.0,L50,7.92,0.86
2.0,0.5,0.5,3.0,L100,8.32,0.52
2.0,0.5,0.5,3.5,L0,8.96,1.7
2.0,0.5,0.5,3.5,L50,8.32,1.22
2.0,0.5,0.5,3.5,L100,8.0,0.96
2.0,0.5,0.5,4.0,L0,9.44,2.18
2.0,0.5,0.5,4.0,L50,9.2,1.22
2.0,0.5,0.5,4.0,L100,8.32,0.98
2.0,0.5,0.5,4.5,L0,10.32,2.1
2.0,0.5,0.5,4.5,L50,9.68,1.14
2.0,0.5,0.5,4.5,L100,8.0,1.16
2.0,0.5,0.5,5.0,L0,10.32,1.72
2.0,0.5,0.5,5.0,L50,8.24,2.06
2.0,0.5,0.5,5.0,L100,8.64,1.04
2.0,0.5,0.55,1.0,L0,6.72,0.48
2.0,0.5,0.55,1.0,L50,7.04,0.26
2.0,0.5,0.55,1.0,L100,6.64,0.18
2.0,0.5,0.55,1.5,L0,7.84,0.86
2.0,0.5,0.55,1.5,L50,7.12,0.4
2.0,0.5,0.55,1.5,L100,7.28,0.2
2.0,0.5,0.55,2.0,L0,7.6,1.32
2.0,0.5,0.55,2.0,L50,7.68,0.42
2.0,0.5,0.55,2.0,L100,7.52,0.34
2.0,0.5,0.55,2.5,L0,8.88,1.52
2.0,0.5,0.55,2.5,L50,8.24,0.78
2.0,0.5,0.55,2.5,L100,7.84,0.48
2.0,0.5,0.55,3.0,L0,8.56,1.46
2.0,0.5,0.55,3.0,L50,8.48,0.74
2.0,0.5,0.55,3.0,L100,8.48,0.54
2.0,0.5,0.55,3.5,L0,8.8,1.58
2.0,0.5,0.55,3.5,L50,8.32,1.4
2.0,0.5,0.55,3.5,L100,8.56,0.62
2.0,0.5,0.55,4.0,L0,8.48,2.76
2.0,0.5,0.55,4.0,L50,8.4,1.18
2.0,0.5,0.55,4.0,L100,8.48,1.18
2.0,0.5,0.55,4.5,L0,9.2,2.08
2.0,0.5,0.55,4.5,L50,8.24,1.9
2.0,0.5,0.55,4.5,L100,8.32,1.56
2.0,0.5,0.55,5.0,L0,9.12,1.86
2.0,0.5,0.55,5.0,L50,8.64,1.22
2.0,0.5,0.55,5.0,L100,8.8,1.36
2.0,0.5,0.6000000000000001,1.0,L0,7.28,0.62
2.0,0.5,0.6000000000000001,1.0,L50,7.04,0.3
2.0,0.5,0.6000000000000001,1.0,L100,6.88,0.24
2.0,0.5,0.6000000000000001,1.5,L0,8.16,1.3
2.0,0.5,0.6000000000000001,1.5,L50,7.6,0.44
2.0,0.5,0.6000000000000001,1.5,L100,7.2,0.32
2.0,0.5,0.6000000000000001,2.0,L0,7.44,1.04
2.0,0.5,0.6000000000000001,2.0,L50,7.68,0.46
2.0,0.5,0.6000000000000001,2.0,L100,7.52,0.36
2.0,0.5,0.6000000000000001,2.5,L0,8.64,1.46
2.0,0.5,0.6000000000000001,2.5,L50,7.28,0.92
2.0,0.5,0.6000000000000001,2.5,L100,7.84,0.68
2.0,0.5,0.6000000000000001,3.0,L0,8.8,1.54
2.0,0.5,0.6000000000000001,3.0,L50,8.56,1.28
2.0,0.5,0.6000000000000001,3.0,L100,8.56,0.8
2.0,0.5,0.6000000000000001,3.5,L0,9.12,1.66
2.0,0.5,0.6000000000000001,3.5,L50,8.8,1.12
2.0,0.5,0.6000000000000001,3.5,L100,8.08,0.96
2.0,0.5,0.6000000000000001,4.0,L0,9.52,1.4
2.0,0.5,0.6000000000000001,4.0,L50,9.04,1.42
2.0,0.5,0.6000000000000001,4.0,L100,8.16,1.04
2.0,0.5,0.6000000000000001,4.5,L0,10.16,2.12
2.0,0.5,0.6000000000000001,4.5,L50,9.2,1.14
2.0,0.5,0.6000000000000001,4.5,L100,8.8,1.08
2.0,0.5,0.6000000000000001,5.0,L0,9.52,1.82
2.0,0.5,0.6000000000000001,5.0,L50,8.72,1.66
2.0,0.5,0.6000000000000001,5.0,L100,8.72,0.94
2.0,0.5,0.6500000000000001,1.0,L0,6.96,0.28
2.0,0.5,0.6500000000000001,1.0,L50,6.8,0.18
2.0,0.5,0.6500000000000001,1.0,L100,7.04,0.26
2.0,0.5,0.6500000000000001,1.5,L0,7.52,0.88
2.0,0.5,0.6500000000000001,1.5,L50,7.04,0.54
2.0,0.5,0.6500000000000001,1.5,L100,7.28,0.38
2.0,0.5,0.6500000000000001,2.0,L0,7.92,1.18
2.0,0.5,0.6500000000000001,2.0,L50,7.6,0.58
2.0,0.5,0.6500000000000001,2.0,L100,7.04,0.4
2.0,0.5,0.6500000000000001,2.5,L0,8.16,1.18
2.0,0.5,0.6500000000000001,2.5,L50,8.16,0.8
2.0,0.5,0.6500000000000001,2.5,L100,7.52,0.46
2.0,0.5,0.6500000000000001,3.0,L0,8.56,2.16
2.0,0.5,0.6500000000000001,3.0,L50,8.4,0.86
2.0,0.5,0.6500000000000001,3.0,L100,7.76,0.66
2.0,0.5,0.6500000000000001,3.5,L0,9.28,2.3
2.0,0.5,0.6500000000000001,3.5,L50,7.76,0.9
2.0,0.5,0.6500000000000001,3.5,L100,7.36,0.88
2.0,0.5,0.6500000000000001,4.0,L0,10.16,2.1
2.0,0.5,0.6500000000000001,4.0,L50,8.48,1.62
2.0,0.5,0.6500000000000001,4.0,L100,7.92,0.94
