init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,gaze_positions_list
2.0,0.5,0.8,4.0,L0,1,14,1.0,"[27, 31, 35, 35]"
2.0,0.5,0.8,4.0,L0,2,6,6.0,"[32, 32]"
2.0,0.5,0.8,4.0,L0,3,14,0.0,"[25, 29, 30, 30]"
2.0,0.5,0.8,4.0,L0,4,6,1.0,"[28, 28]"
2.0,0.5,0.8,4.0,L0,5,18,1.0,"[25, 29, 28, 32, 32]"
2.0,0.5,0.8,4.0,L0,6,6,0.0,"[28, 28]"
2.0,0.5,0.8,4.0,L0,7,10,0.0,"[27, 28, 28]"
2.0,0.5,0.8,4.0,L0,8,6,7.0,"[33, 33]"
2.0,0.5,0.8,4.0,L0,9,6,0.0,"[31, 31]"
2.0,0.5,0.8,4.0,L0,10,6,2.0,"[36, 36]"
2.0,0.5,0.8,4.0,L0,11,10,0.0,"[30, 31, 31]"
2.0,0.5,0.8,4.0,L0,12,6,7.0,"[34, 34]"
2.0,0.5,0.8,4.0,L0,13,14,0.0,"[31, 35, 36, 36]"
2.0,0.5,0.8,4.0,L0,14,6,5.0,"[35, 35]"
2.0,0.5,0.8,4.0,L0,15,6,3.0,"[34, 34]"
2.0,0.5,0.8,4.0,L0,16,10,2.0,"[25, 29, 29]"
2.0,0.5,0.8,4.0,L0,17,10,0.0,"[30, 31, 31]"
2.0,0.5,0.8,4.0,L0,18,6,0.0,"[36, 36]"
2.0,0.5,0.8,4.0,L0,19,14,0.0,"[26, 30, 34, 34]"
2.0,0.5,0.8,4.0,L0,20,6,0.0,"[28, 28]"
2.0,0.5,0.8,4.0,L0,21,10,1.0,"[27, 28, 28]"
2.0,0.5,0.8,4.0,L0,22,6,1.0,"[26, 26]"
2.0,0.5,0.8,4.0,L0,23,6,1.0,"[26, 26]"
2.0,0.5,0.8,4.0,L0,24,6,4.0,"[30, 30]"
2.0,0.5,0.8,4.0,L0,25,18,0.0,"[28, 32, 31, 35, 35]"
2.0,0.5,0.8,4.0,L0,26,10,1.0,"[25, 26, 26]"
2.0,0.5,0.8,4.0,L0,27,14,0.0,"[31, 30, 34, 34]"
2.0,0.5,0.8,4.0,L0,28,6,5.0,"[36, 36]"
2.0,0.5,0.8,4.0,L0,29,14,0.0,"[29, 33, 34, 34]"
2.0,0.5,0.8,4.0,L0,30,10,0.0,"[32, 36, 36]"
2.0,0.5,0.8,4.0,L0,31,6,8.0,"[35, 35]"
2.0,0.5,0.8,4.0,L0,32,6,2.0,"[32, 32]"
2.0,0.5,0.8,4.0,L0,33,6,3.0,"[29, 29]"
2.0,0.5,0.8,4.0,L0,34,6,0.0,"[28, 28]"
2.0,0.5,0.8,4.0,L0,35,10,1.0,"[28, 32, 32]"
2.0,0.5,0.8,4.0,L0,36,6,1.0,"[30, 30]"
2.0,0.5,0.8,4.0,L0,37,10,2.0,"[26, 30, 30]"
2.0,0.5,0.8,4.0,L0,38,10,0.0,"[29, 30, 30]"
2.0,0.5,0.8,4.0,L0,39,6,0.0,"[36, 36]"
2.0,0.5,0.8,4.0,L0,40,10,0.0,"[29, 33, 33]"
2.0,0.5,0.8,4.0,L0,41,10,0.0,"[29, 30, 30]"
2.0,0.5,0.8,4.0,L0,42,10,0.0,"[29, 30, 30]"
2.0,0.5,0.8,4.0,L0,43,10,0.0,"[32, 36, 36]"
2.0,0.5,0.8,4.0,L0,44,6,0.0,"[36, 36]"
2.0,0.5,0.8,4.0,L0,45,14,1.0,"[26, 30, 34, 34]"
2.0,0.5,0.8,4.0,L0,46,14,1.0,"[28, 27, 31, 31]"
2.0,0.5,0.8,4.0,L0,47,14,0.0,"[25, 29, 30, 30]"
2.0,0.5,0.8,4.0,L0,48,14,0.0,"[29, 33, 34, 34]"
2.0,0.5,0.8,4.0,L0,49,6,2.0,"[36, 36]"
2.0,0.5,0.8,4.0,L0,50,6,0.0,"[26, 26]"
2.0,0.5,0.8,4.0,L50,1,6,1.0,"[20, 20]"
2.0,0.5,0.8,4.0,L50,2,10,1.0,"[14, 18, 18]"
2.0,0.5,0.8,4.0,L50,3,10,0.0,"[15, 16, 16]"
2.0,0.5,0.8,4.0,L50,4,10,1.0,"[17, 18, 18]"
2.0,0.5,0.8,4.0,L50,5,6,1.0,"[16, 16]"
2.0,0.5,0.8,4.0,L50,6,10,0.0,"[23, 24, 24]"
2.0,0.5,0.8,4.0,L50,7,6,4.0,"[19, 19]"
2.0,0.5,0.8,4.0,L50,8,42,0.0,"[18, 22, 21, 21, 21, 21, 21, 21, 20, 24, 24]"
2.0,0.5,0.8,4.0,L50,9,6,0.0,"[22, 22]"
2.0,0.5,0.8,4.0,L50,10,6,1.0,"[24, 24]"
2.0,0.5,0.8,4.0,L50,11,6,3.0,"[23, 23]"
2.0,0.5,0.8,4.0,L50,12,6,5.0,"[24, 24]"
2.0,0.5,0.8,4.0,L50,13,6,2.0,"[15, 15]"
2.0,0.5,0.8,4.0,L50,14,6,0.0,"[24, 24]"
2.0,0.5,0.8,4.0,L50,15,6,1.0,"[16, 16]"
2.0,0.5,0.8,4.0,L50,16,6,4.0,"[21, 21]"
2.0,0.5,0.8,4.0,L50,17,10,0.0,"[21, 22, 22]"
2.0,0.5,0.8,4.0,L50,18,6,0.0,"[24, 24]"
2.0,0.5,0.8,4.0,L50,19,14,0.0,"[17, 21, 22, 22]"
2.0,0.5,0.8,4.0,L50,20,10,0.0,"[15, 16, 16]"
2.0,0.5,0.8,4.0,L50,21,10,0.0,"[23, 24, 24]"
2.0,0.5,0.8,4.0,L50,22,6,1.0,"[15, 15]"
2.0,0.5,0.8,4.0,L50,23,6,1.0,"[16, 16]"
2.0,0.5,0.8,4.0,L50,24,6,3.0,"[21, 21]"
2.0,0.5,0.8,4.0,L50,25,18,0.0,"[17, 21, 20, 24, 24]"
2.0,0.5,0.8,4.0,L50,26,6,4.0,"[17, 17]"
2.0,0.5,0.8,4.0,L50,27,10,0.0,"[19, 20, 20]"
2.0,0.5,0.8,4.0,L50,28,10,0.0,"[23, 24, 24]"
2.0,0.5,0.8,4.0,L50,29,10,1.0,"[18, 22, 22]"
2.0,0.5,0.8,4.0,L50,30,6,5.0,"[23, 23]"
2.0,0.5,0.8,4.0,L50,31,10,0.0,"[13, 17, 17]"
2.0,0.5,0.8,4.0,L50,32,14,1.0,"[20, 19, 23, 23]"
2.0,0.5,0.8,4.0,L50,33,10,1.0,"[13, 14, 14]"
2.0,0.5,0.8,4.0,L50,34,6,1.0,"[18, 18]"
