init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.8,4.0,L0,9.216,1.819
2.0,0.5,0.8,4.0,L50,8.94,1.32
2.0,0.5,0.8,4.0,L100,8.372,1.079
2.0,0.5,0.8,4.5,L0,10.136,1.917
2.0,0.5,0.8,4.5,L50,9.004,1.462
2.0,0.5,0.8,4.5,L100,9.082,1.16
2.0,0.5,0.8500000000000001,4.0,L0,9.436,1.917
2.0,0.5,0.8500000000000001,4.0,L50,8.932,1.436
2.0,0.5,0.8500000000000001,4.0,L100,8.636,1.073
2.0,0.5,0.8500000000000001,4.5,L0,11.06,2.139
2.0,0.5,0.8500000000000001,4.5,L50,9.888,1.62
2.0,0.5,0.8500000000000001,4.5,L100,9.93,1.185
2.0,1.0,0.8,4.0,L0,9.428,1.83
2.0,1.0,0.8,4.0,L50,8.992,1.341
2.0,1.0,0.8,4.0,L100,8.632,0.893
2.0,1.0,0.8,4.5,L0,9.34,1.871
2.0,1.0,0.8,4.5,L50,8.828,1.419
2.0,1.0,0.8,4.5,L100,8.524,1.103
2.0,1.0,0.8500000000000001,4.0,L0,9.272,1.787
2.0,1.0,0.8500000000000001,4.0,L50,8.836,1.312
2.0,1.0,0.8500000000000001,4.0,L100,8.456,0.899
2.0,1.0,0.8500000000000001,4.5,L0,9.172,2.004
2.0,1.0,0.8500000000000001,4.5,L50,8.724,1.628
2.0,1.0,0.8500000000000001,4.5,L100,8.536,1.185
2.5,0.5,0.8,4.0,L0,9.012,1.886
2.5,0.5,0.8,4.0,L50,8.532,1.451
2.5,0.5,0.8,4.0,L100,8.292,1.003
2.5,0.5,0.8,4.5,L0,9.42,2.074
2.5,0.5,0.8,4.5,L50,8.72,1.538
2.5,0.5,0.8,4.5,L100,8.652,1.145
2.5,0.5,0.8500000000000001,4.0,L0,9.268,1.924
2.5,0.5,0.8500000000000001,4.0,L50,8.68,1.483
2.5,0.5,0.8500000000000001,4.0,L100,8.888,1.034
2.5,0.5,0.8500000000000001,4.5,L0,9.842,2.035
2.5,0.5,0.8500000000000001,4.5,L50,10.926,1.694
2.5,0.5,0.8500000000000001,4.5,L100,9.738,1.188
2.5,1.0,0.8,4.0,L0,9.316,1.804
2.5,1.0,0.8,4.0,L50,8.652,1.358
2.5,1.0,0.8,4.0,L100,8.536,0.985
2.5,1.0,0.8,4.5,L0,9.452,1.775
2.5,1.0,0.8,4.5,L50,9.14,1.444
2.5,1.0,0.8,4.5,L100,8.412,1.198
2.5,1.0,0.8500000000000001,4.0,L0,9.36,1.946
2.5,1.0,0.8500000000000001,4.0,L50,8.644,1.4
2.5,1.0,0.8500000000000001,4.0,L100,8.572,0.985
2.5,1.0,0.8500000000000001,4.5,L0,9.584,1.788
2.5,1.0,0.8500000000000001,4.5,L50,8.852,1.491
2.5,1.0,0.8500000000000001,4.5,L100,8.668,1.158
