init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,true_last_word_mjidx,gaze_positions_list,true_last_word_memory_list,gaze_positions_list
3.0,4.5,0.6,3.0,L0,1,18,0.0,34,"[27, 31, 30, 34, 34]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875, 0.16843428039357503, 0.1673768454575782]","[27, 31, 30, 34, 34]"
3.0,4.5,0.6,3.0,L0,2,6,5.0,26,"[31, 31]","[0.19939365029699863, 0.19728727731657006]","[31, 31]"
3.0,4.5,0.6,3.0,L0,3,14,0.0,30,"[25, 29, 30, 30]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963, 0.1413021086932789]","[25, 29, 30, 30]"
3.0,4.5,0.6,3.0,L0,4,10,2.0,27,"[28, 29, 29]","[0.17255692571175196, 0.17082853840049236, 0.16958044540732878]","[28, 29, 29]"
3.0,4.5,0.6,3.0,L0,5,18,1.0,31,"[25, 29, 28, 32, 32]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963, 0.1413021086932789, 0.14030574304882357]","[25, 29, 28, 32, 32]"
3.0,4.5,0.6,3.0,L0,6,14,3.0,28,"[28, 27, 31, 31]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[28, 27, 31, 31]"
3.0,4.5,0.6,3.0,L0,7,14,2.0,28,"[27, 26, 30, 30]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[27, 26, 30, 30]"
3.0,4.5,0.6,3.0,L0,8,6,5.0,26,"[31, 31]","[0.19939365029699863, 0.19728727731657006]","[31, 31]"
3.0,4.5,0.6,3.0,L0,9,6,0.0,31,"[31, 31]","[0.14526078844766527, 0.14358691513360786]","[31, 31]"
3.0,4.5,0.6,3.0,L0,10,6,1.0,34,"[35, 35]","[0.172556925711752, 0.17082853840049234]","[35, 35]"
3.0,4.5,0.6,3.0,L0,11,10,0.0,31,"[30, 31, 31]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[30, 31, 31]"
3.0,4.5,0.6,3.0,L0,12,6,5.0,27,"[32, 32]","[0.17255692571175196, 0.17082853840049236]","[32, 32]"
3.0,4.5,0.6,3.0,L0,13,10,1.0,36,"[31, 35, 35]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844]","[31, 35, 35]"
3.0,4.5,0.6,3.0,L0,14,6,4.0,30,"[34, 34]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
3.0,4.5,0.6,3.0,L0,15,6,3.0,31,"[34, 34]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
3.0,4.5,0.6,3.0,L0,16,14,2.0,27,"[26, 25, 29, 29]","[0.17255692571175196, 0.17082853840049236, 0.16958044540732878, 0.16843428039357503]","[26, 25, 29, 29]"
3.0,4.5,0.6,3.0,L0,17,10,0.0,31,"[30, 31, 31]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[30, 31, 31]"
3.0,4.5,0.6,3.0,L0,18,6,0.0,36,"[36, 36]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,19,14,0.0,34,"[26, 30, 34, 34]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875, 0.16843428039357503]","[26, 30, 34, 34]"
3.0,4.5,0.6,3.0,L0,20,14,3.0,28,"[28, 27, 31, 31]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[28, 27, 31, 31]"
3.0,4.5,0.6,3.0,L0,21,14,2.0,27,"[27, 28, 29, 29]","[0.17255692571175196, 0.17082853840049236, 0.16958044540732878, 0.16843428039357503]","[27, 28, 29, 29]"
3.0,4.5,0.6,3.0,L0,22,10,2.0,25,"[26, 27, 27]","[0.24537589071508778, 0.24228230294217007, 0.2400471833731285]","[26, 27, 27]"
