init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,true_last_word_mjidx,gaze_positions_list,true_last_word_memory_list,gaze_positions_list
3.0,4.5,0.6,3.0,L0,1,18,0.0,34,"[0.0931428463679116, 0.09417322776411717, 0.24862493376782147, 0.13655100511879775, 0.32592533866242224]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875, 0.16843428039357503, 0.1673768454575782]","[27, 31, 30, 34, 34]"
3.0,4.5,0.6,3.0,L0,2,6,5.0,26,"[0.1166239504793639, 0.13243725151554345]","[0.19939365029699863, 0.19728727731657006]","[31, 31]"
3.0,4.5,0.6,3.0,L0,3,14,0.0,30,"[0.15236448604498434, 0.17626062575315615, 0.3917460554174306, 0.2565834305051529]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963, 0.1413021086932789]","[25, 29, 30, 30]"
3.0,4.5,0.6,3.0,L0,4,10,2.0,27,"[0.3579069650723209, 0.47041810666880735, 0.2661759102051587]","[0.17255692571175196, 0.17082853840049236, 0.16958044540732878]","[28, 29, 29]"
3.0,4.5,0.6,3.0,L0,5,18,1.0,31,"[0.13327765204612843, 0.14887020130057377, 0.363579621126696, 0.20619951685287818, 0.3549669426494782]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963, 0.1413021086932789, 0.14030574304882357]","[25, 29, 28, 32, 32]"
3.0,4.5,0.6,3.0,L0,6,14,3.0,28,"[0.34426068512169267, 0.448687341878834, 0.28538377210250776, 0.18298161116923206]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[28, 27, 31, 31]"
3.0,4.5,0.6,3.0,L0,7,14,2.0,28,"[0.24090428948799208, 0.3116163299672079, 0.23034511872587576, 0.23149749861303187]","[0.1571445204288281, 0.15551393749492284, 0.1543418872356758, 0.1532695838987229]","[27, 26, 30, 30]"
3.0,4.5,0.6,3.0,L0,8,6,5.0,26,"[0.1166239504793639, 0.13243725151554345]","[0.19939365029699863, 0.19728727731657006]","[31, 31]"
3.0,4.5,0.6,3.0,L0,9,6,0.0,31,"[0.21901065545825288, 0.28386230056025596]","[0.14526078844766527, 0.14358691513360786]","[31, 31]"
3.0,4.5,0.6,3.0,L0,10,6,1.0,34,"[0.2453048753804388, 0.3136114012560498]","[0.172556925711752, 0.17082853840049234]","[35, 35]"
3.0,4.5,0.6,3.0,L0,11,10,0.0,31,"[0.2110757964091043, 0.2729036471703673, 0.2570970520152233]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[30, 31, 31]"
3.0,4.5,0.6,3.0,L0,12,6,5.0,27,"[0.15183254487669748, 0.1759703224190656]","[0.17255692571175196, 0.17082853840049236]","[32, 32]"
3.0,4.5,0.6,3.0,L0,13,10,1.0,36,"[0.11742377313992133, 0.13131359228108225, 0.3915816321339653]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844]","[31, 35, 35]"
3.0,4.5,0.6,3.0,L0,14,6,4.0,30,"[0.14189106211400448, 0.16933670827369848]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
3.0,4.5,0.6,3.0,L0,15,6,3.0,31,"[0.17313059400562994, 0.21522513674976546]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
