init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.5,1.0,L0,7.16,0.53
2.0,0.5,0.5,1.0,L50,7.28,0.335
2.0,0.5,0.5,1.0,L100,7.02,0.24
2.0,0.5,0.5,1.5,L0,7.94,0.91
2.0,0.5,0.5,1.5,L50,7.46,0.53
2.0,0.5,0.5,1.5,L100,7.32,0.32
2.0,0.5,0.5,2.0,L0,8.08,1.405
2.0,0.5,0.5,2.0,L50,7.82,0.5
2.0,0.5,0.5,2.0,L100,7.52,0.35
2.0,0.5,0.5,2.5,L0,8.52,1.52
2.0,0.5,0.5,2.5,L50,7.96,0.735
2.0,0.5,0.5,2.5,L100,7.44,0.49
2.0,0.5,0.5,3.0,L0,8.78,2.085
2.0,0.5,0.5,3.0,L50,8.2,1.19
2.0,0.5,0.5,3.0,L100,7.98,0.795
2.0,0.5,0.5,3.5,L0,9.2,1.65
2.0,0.5,0.5,3.5,L50,8.52,1.27
2.0,0.5,0.5,3.5,L100,8.18,0.875
2.0,0.5,0.5,4.0,L0,9.3,2.12
2.0,0.5,0.5,4.0,L50,8.8,1.245
2.0,0.5,0.5,4.0,L100,8.5,0.75
2.0,0.5,0.5,4.5,L0,9.34,1.995
2.0,0.5,0.5,4.5,L50,9.26,1.44
2.0,0.5,0.5,4.5,L100,8.2,1.165
2.0,0.5,0.5,5.0,L0,9.54,2.195
2.0,0.5,0.5,5.0,L50,8.88,1.58
2.0,0.5,0.5,5.0,L100,8.5,1.225
2.0,0.5,0.55,1.0,L0,7.2,0.615
2.0,0.5,0.55,1.0,L50,6.98,0.255
2.0,0.5,0.55,1.0,L100,7.2,0.3
2.0,0.5,0.55,1.5,L0,7.4,0.955
2.0,0.5,0.55,1.5,L50,7.68,0.39
2.0,0.5,0.55,1.5,L100,7.34,0.315
2.0,0.5,0.55,2.0,L0,8.0,1.35
2.0,0.5,0.55,2.0,L50,7.84,0.64
2.0,0.5,0.55,2.0,L100,7.52,0.385
2.0,0.5,0.55,2.5,L0,8.78,1.38
2.0,0.5,0.55,2.5,L50,7.64,0.92
2.0,0.5,0.55,2.5,L100,7.28,0.47
2.0,0.5,0.55,3.0,L0,9.4,2.045
2.0,0.5,0.55,3.0,L50,8.1,1.36
2.0,0.5,0.55,3.0,L100,7.84,0.64
2.0,0.5,0.55,3.5,L0,9.06,1.885
2.0,0.5,0.55,3.5,L50,8.36,1.27
2.0,0.5,0.55,3.5,L100,7.96,0.93
2.0,0.5,0.55,4.0,L0,9.3,1.9
2.0,0.5,0.55,4.0,L50,8.8,1.485
2.0,0.5,0.55,4.0,L100,8.22,0.89
2.0,0.5,0.55,4.5,L0,9.36,1.92
2.0,0.5,0.55,4.5,L50,9.02,1.625
2.0,0.5,0.55,4.5,L100,8.38,1.175
2.0,0.5,0.55,5.0,L0,9.32,2.195
2.0,0.5,0.55,5.0,L50,9.36,1.495
2.0,0.5,0.55,5.0,L100,8.82,1.215
2.0,0.5,0.6000000000000001,1.0,L0,7.06,0.53
2.0,0.5,0.6000000000000001,1.0,L50,7.26,0.31
2.0,0.5,0.6000000000000001,1.0,L100,7.08,0.285
2.0,0.5,0.6000000000000001,1.5,L0,7.48,1.125
2.0,0.5,0.6000000000000001,1.5,L50,7.26,0.325
2.0,0.5,0.6000000000000001,1.5,L100,7.28,0.3
2.0,0.5,0.6000000000000001,2.0,L0,8.54,1.525
2.0,0.5,0.6000000000000001,2.0,L50,7.68,0.63
2.0,0.5,0.6000000000000001,2.0,L100,7.56,0.38
2.0,0.5,0.6000000000000001,2.5,L0,8.68,1.52
2.0,0.5,0.6000000000000001,2.5,L50,7.54,0.88
2.0,0.5,0.6000000000000001,2.5,L100,7.56,0.48
2.0,0.5,0.6000000000000001,3.0,L0,8.74,1.865
2.0,0.5,0.6000000000000001,3.0,L50,8.5,1.005
2.0,0.5,0.6000000000000001,3.0,L100,8.06,0.605
2.0,0.5,0.6000000000000001,3.5,L0,9.04,1.655
2.0,0.5,0.6000000000000001,3.5,L50,8.68,1.05
2.0,0.5,0.6000000000000001,3.5,L100,8.1,0.72
