init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.5,2.0,L0,8.96,0.72
2.0,0.5,0.5,2.0,L50,7.92,0.6
2.0,0.5,0.5,2.0,L100,6.4,0.18
2.0,0.5,0.5,2.5,L0,9.04,1.84
2.0,0.5,0.5,2.5,L50,10.8,0.7
2.0,0.5,0.5,2.5,L100,7.36,0.18
2.0,0.5,0.5,3.0,L0,10.8,1.06
2.0,0.5,0.5,3.0,L50,10.16,1.06
2.0,0.5,0.5,3.0,L100,7.28,0.78
2.0,0.5,0.5,3.5,L0,10.24,1.92
2.0,0.5,0.5,3.5,L50,8.08,0.98
2.0,0.5,0.5,3.5,L100,7.36,0.74
2.0,0.5,0.5,4.0,L0,13.84,1.46
2.0,0.5,0.5,4.0,L50,10.48,1.22
2.0,0.5,0.5,4.0,L100,10.08,0.8
2.0,0.5,0.5,4.5,L0,11.2,1.6
2.0,0.5,0.5,4.5,L50,8.64,1.36
2.0,0.5,0.5,4.5,L100,10.56,1.68
2.0,0.5,0.5,5.0,L0,12.72,2.26
2.0,0.5,0.5,5.0,L50,11.52,1.12
2.0,0.5,0.5,5.0,L100,8.8,1.22
2.0,0.5,0.55,2.0,L0,8.72,1.28
2.0,0.5,0.55,2.0,L50,7.76,0.38
2.0,0.5,0.55,2.0,L100,6.48,0.2
2.0,0.5,0.55,2.5,L0,8.88,1.16
2.0,0.5,0.55,2.5,L50,7.76,1.24
2.0,0.5,0.55,2.5,L100,6.56,0.34
2.0,0.5,0.55,3.0,L0,10.32,1.7
2.0,0.5,0.55,3.0,L50,7.6,0.9
2.0,0.5,0.55,3.0,L100,8.88,0.72
2.0,0.5,0.55,3.5,L0,10.24,1.54
2.0,0.5,0.55,3.5,L50,12.0,1.18
2.0,0.5,0.55,3.5,L100,14.56,0.74
2.0,0.5,0.55,4.0,L0,10.64,1.8
2.0,0.5,0.55,4.0,L50,10.72,0.9
2.0,0.5,0.55,4.0,L100,10.56,0.9
2.0,0.5,0.55,4.5,L0,12.24,1.78
2.0,0.5,0.55,4.5,L50,10.24,1.22
2.0,0.5,0.55,4.5,L100,14.48,1.56
2.0,0.5,0.55,5.0,L0,10.08,1.56
2.0,0.5,0.55,5.0,L50,11.92,1.3
2.0,0.5,0.55,5.0,L100,10.4,0.7
2.0,0.5,0.6000000000000001,2.0,L0,7.92,1.14
2.0,0.5,0.6000000000000001,2.0,L50,7.36,0.68
2.0,0.5,0.6000000000000001,2.0,L100,6.8,0.12
2.0,0.5,0.6000000000000001,2.5,L0,7.44,1.98
2.0,0.5,0.6000000000000001,2.5,L50,8.72,0.5
2.0,0.5,0.6000000000000001,2.5,L100,7.12,0.36
2.0,0.5,0.6000000000000001,3.0,L0,8.96,1.78
2.0,0.5,0.6000000000000001,3.0,L50,7.28,1.24
2.0,0.5,0.6000000000000001,3.0,L100,7.44,0.9
2.0,0.5,0.6000000000000001,3.5,L0,9.68,1.56
2.0,0.5,0.6000000000000001,3.5,L50,8.16,0.96
2.0,0.5,0.6000000000000001,3.5,L100,14.8,1.02
2.0,0.5,0.6000000000000001,4.0,L0,12.16,1.78
2.0,0.5,0.6000000000000001,4.0,L50,9.52,1.9
2.0,0.5,0.6000000000000001,4.0,L100,9.84,1.08
2.0,0.5,0.6000000000000001,4.5,L0,12.16,2.12
2.0,0.5,0.6000000000000001,4.5,L50,10.08,1.94
2.0,0.5,0.6000000000000001,4.5,L100,9.76,1.18
2.0,0.5,0.6000000000000001,5.0,L0,10.4,1.4
2.0,0.5,0.6000000000000001,5.0,L50,9.12,1.3
2.0,0.5,0.6000000000000001,5.0,L100,9.12,0.84
2.0,0.5,0.6500000000000001,2.0,L0,8.16,1.14
2.0,0.5,0.6500000000000001,2.0,L50,6.96,0.52
2.0,0.5,0.6500000000000001,2.0,L100,6.64,0.16
2.0,0.5,0.6500000000000001,2.5,L0,9.2,1.24
2.0,0.5,0.6500000000000001,2.5,L50,9.44,1.06
2.0,0.5,0.6500000000000001,2.5,L100,7.44,0.38
2.0,0.5,0.6500000000000001,3.0,L0,13.12,1.3
2.0,0.5,0.6500000000000001,3.0,L50,8.8,0.78
2.0,0.5,0.6500000000000001,3.0,L100,7.52,0.68
2.0,0.5,0.6500000000000001,3.5,L0,9.92,1.22
2.0,0.5,0.6500000000000001,3.5,L50,8.8,1.28
2.0,0.5,0.6500000000000001,3.5,L100,8.16,0.92
2.0,0.5,0.6500000000000001,4.0,L0,13.76,1.96
2.0,0.5,0.6500000000000001,4.0,L50,9.92,1.02
2.0,0.5,0.6500000000000001,4.0,L100,8.64,1.0
2.0,0.5,0.6500000000000001,4.5,L0,11.12,1.62
2.0,0.5,0.6500000000000001,4.5,L50,9.2,1.6
2.0,0.5,0.6500000000000001,4.5,L100,10.56,0.8
2.0,0.5,0.6500000000000001,5.0,L0,12.92,1.72
2.0,0.5,0.6500000000000001,5.0,L50,9.28,1.26
2.0,0.5,0.6500000000000001,5.0,L100,10.56,0.86
2.0,0.5,0.7000000000000002,2.0,L0,8.32,1.04
2.0,0.5,0.7000000000000002,2.0,L50,6.56,0.64
2.0,0.5,0.7000000000000002,2.0,L100,6.56,0.22
2.0,0.5,0.7000000000000002,2.5,L0,8.24,1.42
2.0,0.5,0.7000000000000002,2.5,L50,9.2,0.72
2.0,0.5,0.7000000000000002,2.5,L100,6.72,0.32
2.0,0.5,0.7000000000000002,3.0,L0,12.8,1.28
2.0,0.5,0.7000000000000002,3.0,L50,8.24,0.86
