init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,true_last_word_mjidx,gaze_positions_list,true_last_word_memory_list,gaze_positions_list,all_words_belief_list
3.0,4.5,0.6,3.0,L0,1,22,1.0,34,"[0.09417322776411716, 0.24862493376782147, 0.13655100511879775, 0.10369748299192082, 0.43698845698509237]","[0.17082853840049234, 0.16958044540732875, 0.16843428039357503, 0.1673768454575782, 0.1663972258699793]","[27, 31, 30, 29, 33]","[array([0.00218507, 0.03347532, 0.09417323, 0.05501498, 0.00875916,
       0.08620109, 0.23996987, 0.15742538, 0.01670788, 0.08684666,
       0.149734  , 0.06950736]), array([0.00037151, 0.013031  , 0.05653922, 0.02837456, 0.00697193,
       0.07513369, 0.24862493, 0.14487353, 0.02155648, 0.11251412,
       0.20269513, 0.0893139 ]), array([0.0011267 , 0.0123349 , 0.02880708, 0.00618273, 0.03306244,
       0.13655101, 0.19631787, 0.04328504, 0.10439648, 0.23117878,
       0.17708987, 0.0296671 ]), array([0.00336594, 0.01089153, 0.00646985, 0.00058166, 0.10369748,
       0.16586911, 0.06155905, 0.00441833, 0.30603745, 0.27377377,
       0.05992938, 0.00340644]), array([2.21866736e-03, 4.11813346e-03, 1.33453646e-03, 2.05197635e-04,
       1.09444657e-01, 1.12168517e-01, 2.26638004e-02, 2.22416416e-03,
       4.36988457e-01, 2.67390115e-01, 3.85335578e-02, 2.71019647e-03])]"
3.0,4.5,0.6,3.0,L0,2,6,5.0,26,[0.13243725151554342],[0.19728727731657006],[31],"[array([0.03019563, 0.16924302, 0.30336672, 0.13575632, 0.02399126,
       0.09697995, 0.13243725, 0.04244849, 0.0024882 , 0.01607225,
       0.03389355, 0.01312734])]"
3.0,4.5,0.6,3.0,L0,3,10,1.0,30,"[0.17626062575315615, 0.3917460554174306]","[0.14358691513360786, 0.14239091702668963]","[25, 29]","[array([1.76260626e-01, 1.14152812e-01, 2.34280576e-02, 2.53232920e-03,
       3.42812934e-01, 1.80748919e-01, 2.86306662e-02, 2.05724892e-03,
       9.15041157e-02, 3.39615528e-02, 3.74269908e-03, 1.68040221e-04]), array([1.32726810e-01, 7.37739921e-02, 1.42038827e-02, 1.66704017e-03,
       3.91746055e-01, 1.79918878e-01, 2.67419438e-02, 2.03577901e-03,
       1.27975971e-01, 4.38961294e-02, 5.05872657e-03, 2.54791212e-04])]"
3.0,4.5,0.6,3.0,L0,4,10,2.0,27,"[0.47041810666880735, 0.2661759102051587]","[0.17082853840049236, 0.16958044540732878]","[28, 29]","[array([2.68556345e-03, 3.79215780e-02, 2.45720267e-01, 4.70418107e-01,
       2.18298859e-03, 1.89717075e-02, 8.15851612e-02, 1.16668842e-01,
       1.77640596e-04, 1.20147775e-03, 7.28371843e-03, 1.51829489e-02]), array([0.21789698, 0.18809811, 0.08623701, 0.01253851, 0.26617591,
       0.14035721, 0.0383172 , 0.00379762, 0.03333338, 0.01064242,
       0.00229815, 0.0003075 ])]"
3.0,4.5,0.6,3.0,L0,5,18,0.0,31,"[0.14887020130057377, 0.363579621126696, 0.2515033368769215, 0.23672352099520044]","[0.14358691513360786, 0.14239091702668963, 0.1413021086932789, 0.14030574304882357]","[25, 29, 30, 31]","[array([0.1488702 , 0.09001201, 0.01760198, 0.00202189, 0.32791088,
       0.1889611 , 0.03281071, 0.00263515, 0.12952507, 0.05272134,
       0.00658683, 0.00034284]), array([0.10450484, 0.05285598, 0.00978711, 0.00126642, 0.36357962,
       0.18106061, 0.02910716, 0.00246792, 0.1783827 , 0.06777037,
       0.00872452, 0.00049274]), array([0.04488933, 0.05573223, 0.03228038, 0.01111928, 0.22254185,
       0.25150334, 0.10081648, 0.0215853 , 0.11847992, 0.10469044,
       0.03191748, 0.00444397]), array([0.0072849 , 0.04223246, 0.0731664 , 0.05430618, 0.04796354,
       0.2171528 , 0.23672352, 0.10631299, 0.02873196, 0.09114249,
       0.07294104, 0.02204172])]"
3.0,4.5,0.6,3.0,L0,6,10,1.0,28,"[0.448687341878834, 0.2958606263274793]","[0.15551393749492284, 0.1543418872356758]","[28, 29]","[array([1.80073691e-03, 2.89002801e-02, 2.10970546e-01, 4.48687342e-01,
       2.35094690e-03, 2.27237973e-02, 1.04006839e-01, 1.52848606e-01,
       3.05659268e-04, 1.98979974e-03, 9.06779021e-03, 1.63476572e-02]), array([0.15174076, 0.1472098 , 0.0758853 , 0.01230605, 0.29586063,
       0.17502261, 0.05212672, 0.00540006, 0.05913436, 0.02098008,
       0.00393835, 0.00039527])]"
3.0,4.5,0.6,3.0,L0,7,18,1.0,28,"[0.3116163299672079, 0.2303451187258758, 0.19668487219659625, 0.33936960700438873]","[0.15551393749492284, 0.1543418872356758, 0.1532695838987229, 0.1522837321447541]","[27, 26, 25, 29]","[array([0.01794118, 0.13625943, 0.31161633, 0.16852828, 0.02243516,
       0.10266262, 0.15331163, 0.05599568, 0.00291774, 0.00982282,
       0.01379932, 0.00470983]), array([0.07072823, 0.23034512, 0.24220128, 0.04656844, 0.08986509,
       0.16832218, 0.10827485, 0.01396319, 0.01150935, 0.01220412,
       0.00548962, 0.00052852]), array([1.96684872e-01, 2.47660602e-01, 7.01324230e-02, 4.32117390e-03,
       2.37038565e-01, 1.71880181e-01, 3.06166244e-02, 1.35126814e-03,
       2.79144943e-02, 1.10407750e-02, 1.31453607e-03, 4.44846069e-05]), array([2.04554586e-01, 1.66786151e-01, 2.82603695e-02, 2.35360923e-03,
       3.39369607e-01, 1.68252905e-01, 2.03575072e-02, 1.16637614e-03,
       5.13074662e-02, 1.59660107e-02, 1.56193820e-03, 6.34745801e-05])]"
3.0,4.5,0.6,3.0,L0,8,6,5.0,26,[0.13243725151554342],[0.19728727731657006],[31],"[array([0.03019563, 0.16924302, 0.30336672, 0.13575632, 0.02399126,
       0.09697995, 0.13243725, 0.04244849, 0.0024882 , 0.01607225,
       0.03389355, 0.01312734])]"
3.0,4.5,0.6,3.0,L0,9,6,0.0,31,[0.28386230056025596],[0.14358691513360786],[31],"[array([0.00305054, 0.03296803, 0.09646794, 0.06914726, 0.02104377,
       0.13908165, 0.2838623 , 0.13908165, 0.01671364, 0.06914726,
       0.09646794, 0.03296803])]"
3.0,4.5,0.6,3.0,L0,10,6,1.0,34,[0.31361140125604975],[0.17082853840049234],[35],"[array([3.06590763e-04, 4.41930059e-03, 1.31341541e-02, 9.72239964e-03,
       6.06640931e-03, 5.62514835e-02, 1.53715030e-01, 1.04364028e-01,
       2.92381183e-02, 1.71180475e-01, 3.13611401e-01, 1.37990609e-01])]"
3.0,4.5,0.6,3.0,L0,11,10,0.0,31,"[0.2729036471703673, 0.2570970520152234]","[0.14358691513360786, 0.14239091702668963]","[30, 31]","[array([0.02244075, 0.06800357, 0.04961286, 0.01269312, 0.12011422,
       0.27290365, 0.14843703, 0.02522647, 0.09071385, 0.13493758,
       0.04961286, 0.00530403]), array([0.00454169, 0.04321822, 0.07740095, 0.05107167, 0.03316155,
       0.21355039, 0.25709705, 0.1020511 , 0.02432671, 0.09601102,
       0.07740095, 0.0201687 ])]"
3.0,4.5,0.6,3.0,L0,12,6,5.0,27,[0.1759703224190656],[0.17082853840049236],[32],"[array([2.33621954e-03, 3.19520316e-02, 1.95538154e-01, 3.65470028e-01,
       2.87403076e-03, 2.58690456e-02, 1.18935999e-01, 1.75970322e-01,
       3.57606751e-04, 3.05674986e-03, 2.41753116e-02, 5.34645004e-02])]"
3.0,4.5,0.6,3.0,L0,13,10,1.0,36,"[0.13131359228108222, 0.39158163213396535]","[0.24228230294216996, 0.24004718337312844]","[31, 35]","[array([0.00071491, 0.01105263, 0.02882707, 0.01427635, 0.00333765,
       0.04138118, 0.13131359, 0.10076158, 0.02090851, 0.14506589,
       0.32072008, 0.18164056]), array([4.34672378e-05, 2.02195808e-03, 8.43671166e-03, 3.81627499e-03,
       1.86801141e-03, 2.61877697e-02, 1.04043966e-01, 7.43231941e-02,
       2.23787694e-02, 1.61669207e-01, 3.91581632e-01, 2.03629039e-01])]"
3.0,4.5,0.6,3.0,L0,14,6,4.0,30,[0.16933670827369848],[0.14358691513360786],[34],"[array([0.01699653, 0.04890429, 0.03748043, 0.01002458, 0.12920206,
       0.26272985, 0.12920206, 0.01971191, 0.11447813, 0.16933671,
       0.05706491, 0.00486855])]"
3.0,4.5,0.6,3.0,L0,15,6,3.0,31,[0.21522513674976546],[0.14358691513360786],[34],"[array([0.0101847 , 0.03088506, 0.0246418 , 0.00714827, 0.10381558,
       0.23405042, 0.12845523, 0.02225117, 0.13829846, 0.21522514,
       0.07738576, 0.00765841])]"
3.0,4.5,0.6,3.0,L0,16,78,2.0,27,"[0.31361140125604975, 0.278469640332312, 0.3455585824742397, 0.380788405407745, 0.40005123924289004, 0.41077651198655496, 0.416826606841336, 0.4202800854709476, 0.4222724356776703, 0.42343198799893206, 0.42411112397594863, 0.42451012253968673, 0.42474424742640854, 0.4248805836494678, 0.4249585589715169, 0.2620982417042538, 0.27548375487194504, 0.35236187723620843, 0.24554005090273806]","[0.17082853840049236, 0.16958044540732878, 0.16843428039357503, 0.16737684545757817, 0.1663972258699793, 0.16548630459726885, 0.16463639761280838, 0.16384097594730873, 0.1630944510613021, 0.1623920071369818, 0.16172946860875775, 0.16110319448835733, 0.1605099932954515, 0.15994705400001913, 0.15941188952683355, 0.1589022902036553, 0.15841628514573516, 0.1579521100233496, 0.15750818000005734]","[26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 27, 28, 29]","[array([1.37990609e-01, 3.13611401e-01, 1.71180475e-01, 2.92381183e-02,
       1.04364028e-01, 1.53715030e-01, 5.62514835e-02, 6.06640931e-03,
       9.72239964e-03, 1.31341541e-02, 4.41930059e-03, 3.06590763e-04]), array([2.78469640e-01, 2.87950442e-01, 5.63890117e-02, 3.65088942e-03,
       2.04865588e-01, 1.29158962e-01, 1.68929860e-02, 7.20922662e-04,
       1.48729574e-02, 6.39676005e-03, 6.16492844e-04, 1.53470191e-05]), array([3.45558582e-01, 2.40604149e-01, 3.59725793e-02, 2.88612380e-03,
       2.38856652e-01, 1.04486346e-01, 1.12063498e-02, 5.93753703e-04,
       1.50593922e-02, 4.39716226e-03, 3.65922146e-04, 1.29879458e-05]), array([3.80788405e-01, 2.11283849e-01, 3.23233832e-02, 2.76887530e-03,
       2.50187549e-01, 9.23396904e-02, 1.04137905e-02, 5.84395604e-04,
       1.49386849e-02, 3.99647304e-03, 3.61348439e-04, 1.35560128e-05]), array([4.00051239e-01, 1.95357741e-01, 3.13539448e-02, 2.71999114e-03,
       2.53228222e-01, 8.70086334e-02, 1.02991562e-02, 5.87328478e-04,
       1.50066878e-02, 3.99700148e-03, 3.75686841e-04, 1.43678589e-05]), array([4.10776512e-01, 1.86898120e-01, 3.09235630e-02, 2.69219494e-03,
       2.53315607e-01, 8.47676184e-02, 1.03112334e-02, 5.93638270e-04,
       1.52169987e-02, 4.09658829e-03, 3.92676636e-04, 1.52493908e-05]), array([4.16826607e-01, 1.82330510e-01, 3.06589549e-02, 2.67371796e-03,
       2.52523577e-01, 8.38784956e-02, 1.03595398e-02, 6.01090755e-04,
       1.54996234e-02, 4.22145907e-03, 4.10270755e-04, 1.61539610e-05]), array([4.20280085e-01, 1.79754518e-01, 3.04670602e-02, 2.65999414e-03,
       2.51619355e-01, 8.35805219e-02, 1.04206424e-02, 6.08843871e-04,
       1.58120929e-02, 4.35194383e-03, 4.27879499e-04, 1.70622650e-05]), array([4.22272436e-01, 1.78198262e-01, 3.03136429e-02, 2.64890694e-03,
       2.50844740e-01, 8.35425489e-02, 1.04856360e-02, 6.16529467e-04,
       1.61322094e-02, 4.48187589e-03, 4.45247624e-04, 1.79647240e-05]), array([4.23431988e-01, 1.77171003e-01, 3.01829352e-02, 2.63939917e-03,
       2.50242497e-01, 8.36184835e-02, 1.05505733e-02, 6.23984174e-04,
       1.64490318e-02, 4.60899366e-03, 4.62255185e-04, 1.88562892e-05]), array([4.24111124e-01, 1.76425235e-01, 3.00668981e-02, 2.63091788e-03,
       2.49789961e-01, 8.37426172e-02, 1.06136719e-02, 6.31141080e-04,
       1.67574390e-02, 4.73241251e-03, 4.78848175e-04, 1.97342654e-05]), array([4.24510123e-01, 1.75835345e-01, 2.99611752e-02, 2.62316079e-03,
       2.49450522e-01, 8.38848431e-02, 1.06741775e-02, 6.37979724e-04,
       1.70552468e-02, 4.85182333e-03, 4.95006399e-04, 2.05972381e-05]), array([4.24744247e-01, 1.75336763e-01, 2.98632699e-02, 2.61595406e-03,
       2.49191136e-01, 8.40312029e-02, 1.07318352e-02, 6.44501861e-04,
       1.73417354e-02, 4.96718236e-03, 5.10727268e-04, 2.14445112e-05]), array([4.24880584e-01, 1.74895630e-01, 2.97716616e-02, 2.60919172e-03,
       2.48986567e-01, 8.41752447e-02, 1.07866315e-02, 6.50719499e-04,
       1.76169046e-02, 5.07857243e-03, 5.26017365e-04, 2.22758035e-05]), array([4.24958559e-01, 1.74493676e-01, 2.96853608e-02, 2.60280487e-03,
       2.48818987e-01, 8.43140861e-02, 1.08386657e-02, 6.56648940e-04,
       1.78810974e-02, 5.18613542e-03, 5.40887973e-04, 2.30910798e-05]), array([2.57072528e-01, 2.62098242e-01, 1.10894030e-01, 2.42069764e-02,
       1.50417930e-01, 1.27114718e-01, 4.07862739e-02, 6.17406250e-03,
       1.09692806e-02, 7.96292506e-03, 2.08032570e-03, 2.22707870e-04]), array([0.05784637, 0.24481852, 0.27548375, 0.12561904, 0.03612118,
       0.11515481, 0.09752754, 0.03183769, 0.00302149, 0.00682249,
       0.00460966, 0.00113746]), array([4.20357418e-03, 7.61896952e-02, 3.25577319e-01, 3.52361877e-01,
       3.13874404e-03, 3.56308294e-02, 1.08043822e-01, 8.51235338e-02,
       3.37333082e-04, 2.14985087e-03, 4.49349265e-03, 2.74992891e-03]), array([2.01583033e-01, 1.92827909e-01, 9.15112779e-02, 9.63214223e-03,
       2.45540051e-01, 1.48909434e-01, 4.37074072e-02, 3.22144482e-03,
       4.39679379e-02, 1.63544987e-02, 2.61266943e-03, 1.32195302e-04])]"
3.0,4.5,0.6,3.0,L0,17,10,0.0,31,"[0.2729036471703673, 0.2570970520152234]","[0.14358691513360786, 0.14239091702668963]","[30, 31]","[array([0.02244075, 0.06800357, 0.04961286, 0.01269312, 0.12011422,
       0.27290365, 0.14843703, 0.02522647, 0.09071385, 0.13493758,
       0.04961286, 0.00530403]), array([0.00454169, 0.04321822, 0.07740095, 0.05107167, 0.03316155,
       0.21355039, 0.25709705, 0.1020511 , 0.02432671, 0.09601102,
       0.07740095, 0.0201687 ])]"
3.0,4.5,0.6,3.0,L0,18,6,0.0,36,[0.4916705668368986],[0.24228230294216996],[36],"[array([3.82618568e-06, 2.89407417e-04, 4.40016010e-03, 1.24583825e-02,
       1.81180016e-04, 4.84268523e-03, 5.21408743e-02, 1.57670776e-01,
       2.32066737e-03, 3.54451767e-02, 2.38576298e-01, 4.91670567e-01])]"
3.0,4.5,0.6,3.0,L0,19,18,1.0,34,"[0.09501930327175374, 0.20444647780098243, 0.11424067558181025, 0.42447449502433227]","[0.17082853840049234, 0.16958044540732875, 0.16843428039357503, 0.1673768454575782]","[26, 30, 29, 33]","[array([0.03590722, 0.0950193 , 0.04756518, 0.00762223, 0.06662951,
       0.19969177, 0.13808314, 0.03079204, 0.09216585, 0.1788389 ,
       0.09216585, 0.01551901]), array([0.01347644, 0.05632491, 0.02193403, 0.00347896, 0.05436174,
       0.20444648, 0.12478127, 0.02558339, 0.1173282 , 0.24143937,
       0.1173282 , 0.01951701]), array([0.01294597, 0.03237645, 0.00488395, 0.00047852, 0.11424068,
       0.19290769, 0.04434182, 0.00372948, 0.2895579 , 0.25481754,
       0.04675608, 0.00296393]), array([5.58064728e-03, 8.90815852e-03, 1.20417900e-03, 1.98899028e-04,
       1.15610857e-01, 1.23003066e-01, 2.07830872e-02, 2.22031672e-03,
       4.24474495e-01, 2.58351591e-01, 3.69559326e-02, 2.70877054e-03])]"
3.0,4.5,0.6,3.0,L0,20,10,1.0,28,"[0.448687341878834, 0.2958606263274793]","[0.15551393749492284, 0.1543418872356758]","[28, 29]","[array([1.80073691e-03, 2.89002801e-02, 2.10970546e-01, 4.48687342e-01,
       2.35094690e-03, 2.27237973e-02, 1.04006839e-01, 1.52848606e-01,
       3.05659268e-04, 1.98979974e-03, 9.06779021e-03, 1.63476572e-02]), array([0.15174076, 0.1472098 , 0.0758853 , 0.01230605, 0.29586063,
       0.17502261, 0.05212672, 0.00540006, 0.05913436, 0.02098008,
       0.00393835, 0.00039527])]"
3.0,4.5,0.6,3.0,L0,21,78,2.0,27,"[0.3496290249317179, 0.2814720945714833, 0.2628150363329748, 0.3380886846416412, 0.3766325758288266, 0.3976237807502455, 0.4093378618994038, 0.41596680113892026, 0.4197617585461176, 0.42195670183879713, 0.42323711403259767, 0.42398873423185757, 0.4244314206170767, 0.4246920014859895, 0.4248444353749412, 0.262116035400209, 0.2754819966669732, 0.3523614401438283, 0.24553992039566563]","[0.17082853840049236, 0.16958044540732878, 0.16843428039357503, 0.16737684545757817, 0.1663972258699793, 0.16548630459726885, 0.16463639761280838, 0.16384097594730873, 0.1630944510613021, 0.1623920071369818, 0.16172946860875775, 0.16110319448835733, 0.1605099932954515, 0.15994705400001913, 0.15941188952683355, 0.1589022902036553, 0.15841628514573516, 0.1579521100233496, 0.15750818000005734]","[27, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 27, 28, 29]","[array([0.02563598, 0.17065849, 0.34962902, 0.17065849, 0.02035181,
       0.08421717, 0.11647061, 0.03936132, 0.00173283, 0.00657441,
       0.01079528, 0.0039146 ]), array([0.09864013, 0.28147209, 0.26247525, 0.04545043, 0.07867474,
       0.13130459, 0.07677037, 0.00889331, 0.00633215, 0.00643019,
       0.00325389, 0.00030285]), array([2.62815036e-01, 2.89249073e-01, 7.29820079e-02, 4.11903693e-03,
       2.00310750e-01, 1.28150484e-01, 2.05673432e-02, 8.19470667e-04,
       1.49973024e-02, 5.36029114e-03, 6.11542222e-04, 1.76623680e-05]), array([3.38088685e-01, 2.43599986e-01, 3.81857414e-02, 2.91233916e-03,
       2.38835791e-01, 1.05567737e-01, 1.17982244e-02, 6.13759460e-04,
       1.56123197e-02, 4.38020567e-03, 3.91000927e-04, 1.42106549e-05]), array([3.76632576e-01, 2.12852977e-01, 3.25232715e-02, 2.76561620e-03,
       2.50833475e-01, 9.32075173e-02, 1.05933958e-02, 5.97099339e-04,
       1.54589052e-02, 4.13731402e-03, 3.83249555e-04, 1.46034660e-05]), array([3.97623781e-01, 1.95917974e-01, 3.12801285e-02, 2.71241554e-03,
       2.53819943e-01, 8.76019851e-02, 1.04134569e-02, 5.98073242e-04,
       1.54671004e-02, 4.15385566e-03, 3.95924752e-04, 1.53621738e-05]), array([4.09337862e-01, 1.86921530e-01, 3.08110723e-02, 2.68376963e-03,
       2.53733715e-01, 8.51928448e-02, 1.04068417e-02, 6.03340041e-04,
       1.56328348e-02, 4.24803810e-03, 4.11937917e-04, 1.62138744e-05]), array([4.15966801e-01, 1.82090553e-01, 3.05424516e-02, 2.66522334e-03,
       2.52779089e-01, 8.42065675e-02, 1.04449485e-02, 6.10035534e-04,
       1.58830135e-02, 4.36543721e-03, 4.28784246e-04, 1.70953795e-05]), array([4.19761759e-01, 1.79393665e-01, 3.03532356e-02, 2.65169906e-03,
       2.51750473e-01, 8.38501178e-02, 1.04986441e-02, 6.17176575e-04,
       1.61703968e-02, 4.48909838e-03, 4.45751397e-04, 1.79834259e-05]), array([4.21956702e-01, 1.77788459e-01, 3.02043417e-02, 2.64092086e-03,
       2.50888816e-01, 8.37744087e-02, 1.05577013e-02, 6.24342435e-04,
       1.64699139e-02, 4.61298603e-03, 4.62540870e-04, 1.88670291e-05]), array([4.23237114e-01, 1.76747980e-01, 3.00787131e-02, 2.63176236e-03,
       2.50228899e-01, 8.38240653e-02, 1.06176512e-02, 6.31342848e-04,
       1.67690491e-02, 4.73466910e-03, 4.79012759e-04, 1.97405248e-05]), array([4.23988734e-01, 1.76006368e-01, 2.99678100e-02, 2.62363713e-03,
       2.49739721e-01, 8.39285667e-02, 1.06764354e-02, 6.38095117e-04,
       1.70618080e-02, 4.85312119e-03, 4.95102560e-04, 2.06009349e-05]), array([4.24431421e-01, 1.75428741e-01, 2.98670523e-02, 2.61622665e-03,
       2.49377935e-01, 8.40552497e-02, 1.07331349e-02, 6.44568759e-04,
       1.73455001e-02, 4.96793969e-03, 5.10784155e-04, 2.14467203e-05]), array([4.24692001e-01, 1.74945861e-01, 2.97738463e-02, 2.60934968e-03,
       2.49105602e-01, 8.41887490e-02, 1.07873889e-02, 6.50758743e-04,
       1.76190945e-02, 5.07901980e-03, 5.26051382e-04, 2.22771369e-05]), array([4.24844435e-01, 1.74521530e-01, 2.96866369e-02, 2.60289739e-03,
       2.48894122e-01, 8.43218050e-02, 1.08391119e-02, 6.56672194e-04,
       1.78823865e-02, 5.18640243e-03, 5.40908499e-04, 2.30918915e-05]), array([2.57024934e-01, 2.62116035e-01, 1.10894395e-01, 2.42069505e-02,
       1.50443093e-01, 1.27118645e-01, 4.07863647e-02, 6.17405543e-03,
       1.09695016e-02, 7.96299084e-03, 2.08032642e-03, 2.22707580e-04]), array([0.05783987, 0.24482562, 0.275482  , 0.12561809, 0.03612353,
       0.11515556, 0.09752687, 0.03183745, 0.00302148, 0.00682245,
       0.00460963, 0.00113746]), array([4.20347253e-03, 7.61909544e-02, 3.25576674e-01, 3.52361440e-01,
       3.13878045e-03, 3.56309804e-02, 1.08043633e-01, 8.51234613e-02,
       3.37333499e-04, 2.14985139e-03, 4.49348957e-03, 2.74992910e-03]), array([2.01582786e-01, 1.92828576e-01, 9.15111075e-02, 9.63212806e-03,
       2.45539920e-01, 1.48909446e-01, 4.37073383e-02, 3.22144104e-03,
       4.39679069e-02, 1.63544873e-02, 2.61266706e-03, 1.32195211e-04])]"
3.0,4.5,0.6,3.0,L0,22,14,3.0,25,"[0.3881794541406371, 0.3380206794744575, 0.3489355336109519]","[0.24228230294217007, 0.2400471833731285, 0.23799375966794206]","[26, 27, 28]","[array([2.15529043e-01, 3.88179454e-01, 1.72430931e-01, 2.38888451e-02,
       6.86822140e-02, 8.61560176e-02, 2.72612077e-02, 2.29629507e-03,
       4.40558947e-03, 7.98096031e-03, 2.99511590e-03, 1.94326502e-04]), array([6.86786559e-02, 3.40913027e-01, 3.38020679e-01, 1.10870147e-01,
       2.04657646e-02, 6.49125086e-02, 4.29583367e-02, 8.73975715e-03,
       6.87630381e-04, 2.32219930e-03, 1.32709180e-03, 1.04202602e-04]), array([7.57676021e-03, 1.17903434e-01, 4.24536662e-01, 3.48935534e-01,
       2.37185851e-03, 2.13175122e-02, 4.92375631e-02, 2.66262804e-02,
       7.76118845e-05, 4.45729755e-04, 7.54595503e-04, 2.16459226e-04])]"
