init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error

0.5,0.1,0.5,2.0,L0,13.02,0.05

0.5,0.1,0.5,2.0,L50,17.28,0.58

0.5,0.1,0.5,2.0,L100,7.32,0.03

0.5,0.1,0.5,2.5,L0,19.2,0.25

0.5,0.1,0.5,2.5,L50,17.0,0.18

0.5,0.1,0.5,2.5,L100,10.18,0.14

0.5,0.1,0.5,3.0,L0,17.1,0.17

0.5,0.1,0.5,3.0,L50,15.62,0.29

0.5,0.1,0.5,3.0,L100,13.88,0.27

0.5,0.1,0.5,3.5,L0,23.18,0.21

0.5,0.1,0.5,3.5,L50,19.12,0.48

0.5,0.1,0.5,3.5,L100,17.06,0.4

0.5,0.1,0.5,4.0,L0,29.06,0.42

0.5,0.1,0.5,4.0,L50,21.72,0.43

0.5,0.1,0.5,4.0,L100,15.06,0.32

0.5,0.1,0.5,4.5,L0,28.44,0.54

0.5,0.1,0.5,4.5,L50,21.26,0.25

0.5,0.1,0.5,4.5,L100,23.4,0.29

0.5,0.1,0.5,5.0,L0,28.7,0.26

0.5,0.1,0.5,5.0,L50,26.86,0.49

0.5,0.1,0.5,5.0,L100,21.7,0.19

0.5,0.1,0.55,2.0,L0,14.9,0.17

0.5,0.1,0.55,2.0,L50,11.38,0.5

0.5,0.1,0.55,2.0,L100,9.12,0.04

0.5,0.1,0.55,2.5,L0,18.14,0.36

0.5,0.1,0.55,2.5,L50,10.34,0.06

0.5,0.1,0.55,2.5,L100,8.78,0.18

0.5,0.1,0.55,3.0,L0,22.36,0.12

0.5,0.1,0.55,3.0,L50,16.82,0.13

0.5,0.1,0.55,3.0,L100,15.28,0.39

0.5,0.1,0.55,3.5,L0,24.74,0.37

0.5,0.1,0.55,3.5,L50,13.8,0.11

0.5,0.1,0.55,3.5,L100,16.24,0.44

0.5,0.1,0.55,4.0,L0,23.66,0.29

0.5,0.1,0.55,4.0,L50,20.24,0.25

0.5,0.1,0.55,4.0,L100,18.58,0.26

0.5,0.1,0.55,4.5,L0,22.8,0.25

0.5,0.1,0.55,4.5,L50,22.52,0.34

0.5,0.1,0.55,4.5,L100,18.62,0.28

0.5,0.1,0.55,5.0,L0,30.34,0.27

0.5,0.1,0.55,5.0,L50,22.56,0.26

0.5,0.1,0.55,5.0,L100,20.12,0.21

0.5,0.1,0.6000000000000001,2.0,L0,10.66,0.07

0.5,0.1,0.6000000000000001,2.0,L50,8.28,0.04

0.5,0.1,0.6000000000000001,2.0,L100,7.76,0.08

0.5,0.1,0.6000000000000001,2.5,L0,16.84,0.16

0.5,0.1,0.6000000000000001,2.5,L50,8.96,0.08

0.5,0.1,0.6000000000000001,2.5,L100,8.66,0.14

0.5,0.1,0.6000000000000001,3.0,L0,18.44,0.21

0.5,0.1,0.6000000000000001,3.0,L50,13.52,0.28

0.5,0.1,0.6000000000000001,3.0,L100,14.04,0.28

0.5,0.1,0.6000000000000001,3.5,L0,18.12,0.25

0.5,0.1,0.6000000000000001,3.5,L50,16.9,0.26

0.5,0.1,0.6000000000000001,3.5,L100,18.6,0.29

0.5,0.1,0.6000000000000001,4.0,L0,22.08,0.33

0.5,0.1,0.6500000000000001,4.0,L0,18.34,0.2
0.5,0.1,0.6500000000000001,4.0,L50,24.0,0.23
0.5,0.1,0.6500000000000001,4.0,L100,19.12,0.12
0.5,0.1,0.6500000000000001,4.5,L0,23.9,0.3
0.5,0.1,0.6500000000000001,4.5,L50,25.06,0.24
0.5,0.1,0.6500000000000001,4.5,L100,18.48,0.15
0.5,0.1,0.6500000000000001,5.0,L0,28.46,0.38
0.5,0.1,0.6500000000000001,5.0,L50,25.06,0.33
0.5,0.1,0.6500000000000001,5.0,L100,22.46,0.33
0.5,0.1,0.7000000000000002,2.0,L0,15.68,0.15
0.5,0.1,0.7000000000000002,2.0,L50,9.58,0.1
0.5,0.1,0.7000000000000002,2.0,L100,7.72,0.09
0.5,0.1,0.7000000000000002,2.5,L0,11.68,0.05
0.5,0.1,0.7000000000000002,2.5,L50,10.64,0.07
0.5,0.1,0.7000000000000002,2.5,L100,10.64,0.14
0.5,0.1,0.7000000000000002,3.0,L0,15.6,0.08
0.5,0.1,0.7000000000000002,3.0,L50,13.98,0.28
0.5,0.1,0.7000000000000002,3.0,L100,17.46,0.33
0.5,0.1,0.7000000000000002,3.5,L0,17.84,0.33
0.5,0.1,0.7000000000000002,3.5,L50,15.8,0.09
0.5,0.1,0.7000000000000002,3.5,L100,16.38,0.13
0.5,0.1,0.7000000000000002,4.0,L0,19.2,0.26
0.5,0.1,0.7000000000000002,4.0,L50,18.72,0.13
0.5,0.1,0.7000000000000002,4.0,L100,22.66,0.24
0.5,0.1,0.7000000000000002,4.5,L0,18.26,0.2
0.5,0.1,0.7000000000000002,4.5,L50,26.3,0.22
0.5,0.1,0.7000000000000002,4.5,L100,21.44,0.32
0.5,0.1,0.7000000000000002,5.0,L0,26.32,0.54
0.5,0.1,0.7000000000000002,5.0,L50,27.56,0.3
0.5,0.1,0.7000000000000002,5.0,L100,20.26,0.19
0.5,0.1,0.7500000000000002,2.0,L0,10.38,0.06
0.5,0.1,0.7500000000000002,2.0,L50,10.54,0.04
0.5,0.1,0.7500000000000002,2.0,L100,7.56,0.04
0.5,0.1,0.7500000000000002,2.5,L0,17.06,0.31
0.5,0.1,0.7500000000000002,2.5,L50,10.46,0.08
0.5,0.1,0.7500000000000002,2.5,L100,9.76,0.12
0.5,0.1,0.7500000000000002,3.0,L0,19.34,0.31
0.5,0.1,0.7500000000000002,3.0,L50,14.92,0.11
0.5,0.1,0.7500000000000002,3.0,L100,15.46,0.25
0.5,0.1,0.7500000000000002,3.5,L0,19.9,0.66
0.5,0.1,0.7500000000000002,3.5,L50,13.22,0.03
0.5,0.1,0.7500000000000002,3.5,L100,15.74,0.19
0.5,0.1,0.7500000000000002,4.0,L0,21.66,0.37
0.5,0.1,0.7500000000000002,4.0,L50,23.26,0.23
0.5,0.1,0.7500000000000002,4.0,L100,22.02,0.23
0.5,0.1,0.7500000000000002,4.5,L0,22.5,0.43
0.5,0.1,0.7500000000000002,4.5,L50,23.02,0.34
0.5,0.1,0.7500000000000002,4.5,L100,18.38,0.2
0.5,0.1,0.7500000000000002,5.0,L0,27.26,0.7
0.5,0.1,0.7500000000000002,5.0,L50,21.42,0.21
0.5,0.1,0.7500000000000002,5.0,L100,22.5,0.3
0.5,0.1,0.8000000000000003,2.0,L0,12.18,0.07
0.5,0.1,0.8000000000000003,2.0,L50,10.12,0.19
