init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error

0.1,0.5,0.5,1.0,L0,6.0,0.69

0.1,0.5,0.5,1.0,L50,6.0,0.01

0.1,0.5,0.5,1.0,L100,6.0,0.01

0.1,0.5,0.5,1.5,L0,6.0,1.51

0.1,0.5,0.5,1.5,L50,6.0,0.33

0.1,0.5,0.5,1.5,L100,6.0,0.18

0.1,0.5,0.5,2.0,L0,6.0,2.67

0.1,0.5,0.5,2.0,L50,6.0,0.7

0.1,0.5,0.5,2.0,L100,6.0,0.34

0.1,0.5,0.5,2.5,L0,6.0,3.23

0.1,0.5,0.5,2.5,L50,6.0,1.36

0.1,0.5,0.5,2.5,L100,6.0,0.51

0.1,0.5,0.5,3.0,L0,6.0,2.99

0.1,0.5,0.5,3.0,L50,6.0,1.72

0.1,0.5,0.5,3.0,L100,6.0,1.02

0.1,0.5,0.5,3.5,L0,6.0,3.14

0.1,0.5,0.5,3.5,L50,6.0,2.18

0.1,0.5,0.5,3.5,L100,6.0,1.17

0.1,0.5,0.5,4.0,L0,6.0,3.68

0.1,0.5,0.5,4.0,L50,6.0,2.4

0.1,0.5,0.5,4.0,L100,6.0,1.46

0.1,0.5,0.5,4.5,L0,6.0,3.72

0.1,0.5,0.5,4.5,L50,6.0,2.67

0.1,0.5,0.5,4.5,L100,6.0,1.92

0.1,0.5,0.5,5.0,L0,6.0,3.89

0.1,0.5,0.5,5.0,L50,6.0,2.57

0.1,0.5,0.5,5.0,L100,6.0,2.05

0.1,0.5,0.55,1.0,L0,6.0,0.76

0.1,0.5,0.55,1.0,L50,6.0,0.02

0.1,0.5,0.55,1.0,L100,6.0,0.02

0.1,0.5,0.55,1.5,L0,6.0,1.53

0.1,0.5,0.55,1.5,L50,6.0,0.23

0.1,0.5,0.55,1.5,L100,6.0,0.19

0.1,0.5,0.55,2.0,L0,6.0,2.74

0.1,0.5,0.55,2.0,L50,6.0,1.02

0.1,0.5,0.55,2.0,L100,6.0,0.34

0.1,0.5,0.55,2.5,L0,6.0,2.68

0.1,0.5,0.55,2.5,L50,6.0,1.39

0.1,0.5,0.55,2.5,L100,6.0,0.62

0.1,0.5,0.55,3.0,L0,6.0,3.12

0.1,0.5,0.55,3.0,L50,6.0,1.54

0.1,0.5,0.55,3.0,L100,6.0,0.9

0.1,0.5,0.55,3.5,L0,6.0,2.92

0.1,0.5,0.55,3.5,L50,6.0,1.88

0.1,0.5,0.55,3.5,L100,6.0,1.33

0.1,0.5,0.55,4.0,L0,6.0,3.54

0.1,0.5,0.55,4.0,L50,6.0,2.1

0.1,0.5,0.55,4.0,L100,6.0,1.44

0.1,0.5,0.55,4.5,L0,6.0,3.5

0.1,0.5,0.55,4.5,L50,6.0,2.63

0.1,0.5,0.55,4.5,L100,6.0,1.7

0.1,0.5,0.55,5.0,L0,6.0,3.54

0.1,0.5,0.55,5.0,L50,6.0,2.98

0.1,0.5,0.55,5.0,L100,6.0,2.02

0.1,0.5,0.6000000000000001,1.0,L0,6.0,0.53

0.1,0.5,0.6000000000000001,1.0,L50,6.0,0.06

0.1,0.5,0.6000000000000001,1.0,L100,6.0,0.01

0.1,0.5,0.6000000000000001,1.5,L0,6.0,1.86

0.1,0.5,0.6000000000000001,1.5,L50,6.0,0.4

0.1,0.5,0.6000000000000001,1.5,L100,6.0,0.21

0.1,0.5,0.6000000000000001,2.0,L0,6.0,2.58

0.1,0.5,0.6000000000000001,2.0,L50,6.0,0.65

0.1,0.5,0.6000000000000001,2.0,L100,6.0,0.39

0.1,0.5,0.6000000000000001,2.5,L0,6.0,2.93

0.1,0.5,0.6000000000000001,2.5,L50,6.0,1.29

0.1,0.5,0.6000000000000001,2.5,L100,6.0,0.81

0.1,0.5,0.6000000000000001,3.0,L0,6.0,3.2

0.1,0.5,0.6000000000000001,3.0,L50,6.0,1.77

0.1,0.5,0.6000000000000001,3.0,L100,6.0,0.83

0.1,0.5,0.6000000000000001,3.5,L0,6.0,3.43

0.1,0.5,0.6000000000000001,3.5,L50,6.0,2.16

0.1,0.5,0.6000000000000001,3.5,L100,6.0,1.14

0.1,0.5,0.6000000000000001,4.0,L0,6.0,3.72

0.1,0.5,0.6000000000000001,4.0,L50,6.0,2.03

0.1,0.5,0.6000000000000001,4.0,L100,6.0,1.5

0.1,0.5,0.6000000000000001,4.5,L0,6.0,3.66

0.1,0.5,0.6000000000000001,4.5,L50,6.0,2.62

0.1,0.5,0.6000000000000001,4.5,L100,6.0,1.84

