init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
0.1,0.5,0.5,1.0,L0,12.66,0.24
0.1,0.5,0.5,1.0,L50,6.0,0.01
0.1,0.5,0.5,1.0,L100,6.0,0.01
0.1,0.5,0.5,1.5,L0,17.26,0.25
0.1,0.5,0.5,1.5,L50,7.0,0.13
0.1,0.5,0.5,1.5,L100,6.8,0.02
0.1,0.5,0.5,2.0,L0,20.86,0.25
0.1,0.5,0.5,2.0,L50,11.68,0.31
0.1,0.5,0.5,2.0,L100,7.44,0.04
0.1,0.5,0.5,2.5,L0,27.24,0.29
0.1,0.5,0.5,2.5,L50,20.04,0.37
0.1,0.5,0.5,2.5,L100,11.0,0.18
0.1,0.5,0.5,3.0,L0,22.68,0.15
0.1,0.5,0.5,3.0,L50,25.44,0.27
0.1,0.5,0.5,3.0,L100,15.38,0.48
0.1,0.5,0.5,3.5,L0,26.7,0.13
0.1,0.5,0.5,3.5,L50,21.4,0.19
0.1,0.5,0.5,3.5,L100,14.72,0.61
0.1,0.5,0.5,4.0,L0,32.86,0.19
0.1,0.5,0.5,4.0,L50,27.22,0.68
0.1,0.5,0.5,4.0,L100,18.06,0.23
0.1,0.5,0.5,4.5,L0,28.0,0.13
0.1,0.5,0.5,4.5,L50,27.7,0.37
0.1,0.5,0.5,4.5,L100,26.3,0.24
0.1,0.5,0.5,5.0,L0,28.72,0.18
0.1,0.5,0.5,5.0,L50,25.28,0.24
0.1,0.5,0.5,5.0,L100,24.4,0.26
0.1,0.5,0.55,1.0,L0,16.48,0.11
0.1,0.5,0.55,1.0,L50,6.0,0.02
0.1,0.5,0.55,1.0,L100,6.08,0.02
0.1,0.5,0.55,1.5,L0,15.1,0.26
0.1,0.5,0.55,1.5,L50,6.92,0.04
0.1,0.5,0.55,1.5,L100,6.84,0.0
0.1,0.5,0.55,2.0,L0,23.58,0.39
0.1,0.5,0.55,2.0,L50,15.46,0.58
0.1,0.5,0.55,2.0,L100,7.76,0.02
0.1,0.5,0.55,2.5,L0,22.24,0.28
0.1,0.5,0.55,2.5,L50,17.54,0.26
0.1,0.5,0.55,2.5,L100,9.02,0.14
0.1,0.5,0.55,3.0,L0,20.54,0.15
