init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
0.9,4.5,0.5,0.5,L0,6.24,0.1
0.9,4.5,0.5,0.5,L25,6.36,0.09
0.9,4.5,0.5,0.5,L50,6.52,0.13
0.9,4.5,0.5,0.5,L75,6.16,0.04
0.9,4.5,0.5,0.5,L100,6.32,0.08
0.9,4.5,0.5,0.5,L125,6.48,0.12
0.9,4.5,0.5,1.0,L0,22.62,0.57
0.9,4.5,0.5,1.0,L25,11.64,0.04
0.9,4.5,0.5,1.0,L50,13.52,0.0
0.9,4.5,0.5,1.0,L75,16.34,0.02
0.9,4.5,0.5,1.0,L100,12.58,0.01
0.9,4.5,0.5,1.0,L125,14.46,0.02
0.9,4.5,0.5,1.5,L0,61.86,1.38
0.9,4.5,0.5,1.5,L25,20.88,0.76
0.9,4.5,0.5,1.5,L50,9.76,0.27
0.9,4.5,0.5,1.5,L75,14.46,0.24
0.9,4.5,0.5,1.5,L100,14.46,0.13
0.9,4.5,0.5,1.5,L125,17.28,0.22
0.9,4.5,0.5,2.0,L0,63.48,1.01
0.9,4.5,0.5,2.0,L25,28.6,1.01
0.9,4.5,0.5,2.0,L50,19.24,0.73
0.9,4.5,0.5,2.0,L75,13.22,0.52
0.9,4.5,0.5,2.0,L100,13.3,0.28
0.9,4.5,0.5,2.0,L125,10.72,0.3
0.9,4.5,0.5,2.5,L0,63.16,1.04
0.9,4.5,0.5,2.5,L25,54.74,0.72
0.9,4.5,0.5,2.5,L50,25.04,0.59
0.9,4.5,0.5,2.5,L75,35.66,1.03
0.9,4.5,0.5,2.5,L100,19.08,0.71
0.9,4.5,0.5,2.5,L125,24.56,0.58
0.9,4.5,0.5,3.0,L0,64.08,0.94
0.9,4.5,0.5,3.0,L25,56.4,0.94
0.9,4.5,0.5,3.0,L50,47.54,0.92
0.9,4.5,0.5,3.0,L75,26.1,0.72
0.9,4.5,0.5,3.0,L100,22.0,0.83
0.9,4.5,0.5,3.0,L125,25.84,0.6
0.9,4.5,0.5,3.5,L0,69.48,0.93
0.9,4.5,0.5,3.5,L25,52.78,0.63
0.9,4.5,0.5,3.5,L50,54.06,0.79
0.9,4.5,0.5,3.5,L75,39.46,0.74
0.9,4.5,0.5,3.5,L100,33.8,0.78
0.9,4.5,0.5,3.5,L125,22.22,0.67
0.9,4.5,0.5,4.0,L0,59.5,0.66
0.9,4.5,0.5,4.0,L25,62.92,0.68
0.9,4.5,0.5,4.0,L50,51.28,0.73
0.9,4.5,0.5,4.0,L75,45.38,0.77
0.9,4.5,0.5,4.0,L100,34.12,0.72
0.9,4.5,0.5,4.0,L125,22.8,0.65
0.9,4.5,0.5,4.5,L0,58.18,0.57
0.9,4.5,0.5,4.5,L25,59.86,0.85
0.9,4.5,0.5,4.5,L50,59.38,0.63
0.9,4.5,0.5,4.5,L75,49.58,0.69
0.9,4.5,0.5,4.5,L100,46.72,1.1
0.9,4.5,0.5,4.5,L125,37.14,0.9
0.9,4.5,0.5,5.0,L0,68.66,0.63
0.9,4.5,0.5,5.0,L25,60.3,0.59
0.9,4.5,0.5,5.0,L50,57.88,0.61
0.9,4.5,0.5,5.0,L75,45.7,0.51
0.9,4.5,0.5,5.0,L100,43.5,0.57
0.9,4.5,0.5,5.0,L125,51.14,0.66
0.9,4.5,0.55,0.5,L0,6.48,0.12
0.9,4.5,0.55,0.5,L25,6.32,0.08
0.9,4.5,0.55,0.5,L50,6.52,0.13
0.9,4.5,0.55,0.5,L75,6.2,0.05
0.9,4.5,0.55,0.5,L100,6.36,0.09
0.9,4.5,0.55,0.5,L125,6.28,0.07
0.9,4.5,0.55,1.0,L0,22.92,0.39
0.9,4.5,0.55,1.0,L25,10.7,0.11
0.9,4.5,0.55,1.0,L50,9.76,0.02
0.9,4.5,0.55,1.0,L75,14.46,0.05
0.9,4.5,0.55,1.0,L100,12.58,0.02
0.9,4.5,0.55,1.0,L125,11.64,0.02
0.9,4.5,0.55,1.5,L0,57.66,1.29
0.9,4.5,0.55,1.5,L25,20.94,0.48
0.9,4.5,0.55,1.5,L50,15.4,0.16
0.9,4.5,0.55,1.5,L75,18.22,0.17
0.9,4.5,0.55,1.5,L100,12.58,0.23
0.9,4.5,0.55,1.5,L125,13.52,0.19
0.9,4.5,0.55,2.0,L0,60.26,0.72
0.9,4.5,0.55,2.0,L25,30.24,1.15
0.9,4.5,0.55,2.0,L50,24.94,0.77
0.9,4.5,0.55,2.0,L75,15.34,0.39
0.9,4.5,0.55,2.0,L100,18.08,0.28
0.9,4.5,0.55,2.0,L125,10.32,0.25
0.9,4.5,0.55,2.5,L0,55.64,0.72
0.9,4.5,0.55,2.5,L25,45.86,0.53
0.9,4.5,0.55,2.5,L50,39.5,0.65
0.9,4.5,0.55,2.5,L75,21.96,0.77
0.9,4.5,0.55,2.5,L100,13.6,0.56
0.9,4.5,0.55,2.5,L125,16.42,0.6
0.9,4.5,0.55,3.0,L0,57.98,1.0
0.9,4.5,0.55,3.0,L25,49.82,0.73
0.9,4.5,0.55,3.0,L50,37.5,0.81
0.9,4.5,0.55,3.0,L75,25.18,0.63
0.9,4.5,0.55,3.0,L100,24.64,0.96
0.9,4.5,0.55,3.0,L125,17.04,0.71
0.9,4.5,0.55,3.5,L0,67.82,0.87
0.9,4.5,0.55,3.5,L25,55.86,0.72
0.9,4.5,0.55,3.5,L50,41.54,0.7
0.9,4.5,0.55,3.5,L75,38.24,0.7
0.9,4.5,0.55,3.5,L100,25.26,0.74
0.9,4.5,0.55,3.5,L125,20.78,0.6
0.9,4.5,0.55,4.0,L0,63.58,0.77
0.9,4.5,0.55,4.0,L25,56.7,0.72
0.9,4.5,0.55,4.0,L50,46.9,0.74
0.9,4.5,0.55,4.0,L75,41.7,0.71
0.9,4.5,0.55,4.0,L100,34.82,0.64
0.9,4.5,0.55,4.0,L125,27.68,0.69
0.9,4.5,0.55,4.5,L0,60.24,0.56
0.9,4.5,0.55,4.5,L25,55.52,0.69
0.9,4.5,0.55,4.5,L50,51.1,0.49
0.9,4.5,0.55,4.5,L75,48.08,0.67
0.9,4.5,0.55,4.5,L100,47.36,0.64
0.9,4.5,0.55,4.5,L125,45.56,0.71
0.9,4.5,0.55,5.0,L0,67.02,0.64
0.9,4.5,0.55,5.0,L25,70.26,0.66
0.9,4.5,0.55,5.0,L50,71.04,0.54
0.9,4.5,0.55,5.0,L75,51.48,0.66
0.9,4.5,0.55,5.0,L100,41.0,0.63
0.9,4.5,0.55,5.0,L125,54.86,0.76
0.9,4.5,0.6000000000000001,0.5,L0,6.16,0.04
0.9,4.5,0.6000000000000001,0.5,L25,6.52,0.13
0.9,4.5,0.6000000000000001,0.5,L50,6.28,0.07
0.9,4.5,0.6000000000000001,0.5,L75,6.28,0.07
0.9,4.5,0.6000000000000001,0.5,L100,6.24,0.06
0.9,4.5,0.6000000000000001,0.5,L125,6.28,0.07
0.9,4.5,0.6000000000000001,1.0,L0,25.22,0.48
0.9,4.5,0.6000000000000001,1.0,L25,12.58,0.1
0.9,4.5,0.6000000000000001,1.0,L50,16.34,0.02
0.9,4.5,0.6000000000000001,1.0,L75,14.5,0.04
0.9,4.5,0.6000000000000001,1.0,L100,13.52,0.0
0.9,4.5,0.6000000000000001,1.0,L125,8.82,0.02
0.9,4.5,0.6000000000000001,1.5,L0,58.52,0.68
0.9,4.5,0.6000000000000001,1.5,L25,23.9,0.63
0.9,4.5,0.6000000000000001,1.5,L50,19.16,0.3
0.9,4.5,0.6000000000000001,1.5,L75,16.34,0.24
0.9,4.5,0.6000000000000001,1.5,L100,15.4,0.15
0.9,4.5,0.6000000000000001,1.5,L125,10.7,0.17
0.9,4.5,0.6000000000000001,2.0,L0,57.78,0.88
0.9,4.5,0.6000000000000001,2.0,L25,29.16,0.68
0.9,4.5,0.6000000000000001,2.0,L50,19.3,0.68
0.9,4.5,0.6000000000000001,2.0,L75,14.8,0.57
0.9,4.5,0.6000000000000001,2.0,L100,22.24,0.48
0.9,4.5,0.6000000000000001,2.0,L125,13.66,0.46
0.9,4.5,0.6000000000000001,2.5,L0,67.16,1.5
0.9,4.5,0.6000000000000001,2.5,L25,41.4,0.96
0.9,4.5,0.6000000000000001,2.5,L50,31.02,0.6
0.9,4.5,0.6000000000000001,2.5,L75,17.88,0.51
0.9,4.5,0.6000000000000001,2.5,L100,20.54,0.58
0.9,4.5,0.6000000000000001,2.5,L125,18.46,0.38
0.9,4.5,0.6000000000000001,3.0,L0,64.4,0.81
0.9,4.5,0.6000000000000001,3.0,L25,55.32,0.73
0.9,4.5,0.6000000000000001,3.0,L50,42.12,0.74
0.9,4.5,0.6000000000000001,3.0,L75,34.5,0.65
0.9,4.5,0.6000000000000001,3.0,L100,22.44,0.82
0.9,4.5,0.6000000000000001,3.0,L125,17.0,0.8
0.9,4.5,0.6000000000000001,3.5,L0,64.92,1.11
0.9,4.5,0.6000000000000001,3.5,L25,48.64,0.81
0.9,4.5,0.6000000000000001,3.5,L50,41.86,0.5
0.9,4.5,0.6000000000000001,3.5,L75,40.84,0.73
0.9,4.5,0.6000000000000001,3.5,L100,29.14,0.6
0.9,4.5,0.6000000000000001,3.5,L125,18.08,0.71
0.9,4.5,0.6000000000000001,4.0,L0,59.34,0.62
0.9,4.5,0.6000000000000001,4.0,L25,55.68,0.73
0.9,4.5,0.6000000000000001,4.0,L50,57.62,0.7
0.9,4.5,0.6000000000000001,4.0,L75,50.74,0.73
0.9,4.5,0.6000000000000001,4.0,L100,39.14,0.94
0.9,4.5,0.6000000000000001,4.0,L125,19.02,0.63
0.9,4.5,0.6000000000000001,4.5,L0,63.34,0.83
0.9,4.5,0.6000000000000001,4.5,L25,62.08,0.71
0.9,4.5,0.6000000000000001,4.5,L50,53.5,0.76
0.9,4.5,0.6000000000000001,4.5,L75,45.66,0.59
0.9,4.5,0.6000000000000001,4.5,L100,47.14,0.73
0.9,4.5,0.6000000000000001,4.5,L125,45.62,0.77
0.9,4.5,0.6000000000000001,5.0,L0,64.2,0.79
0.9,4.5,0.6000000000000001,5.0,L25,62.42,0.59
0.9,4.5,0.6000000000000001,5.0,L50,57.12,0.5
0.9,4.5,0.6000000000000001,5.0,L75,54.24,0.56
0.9,4.5,0.6000000000000001,5.0,L100,53.72,0.42
0.9,4.5,0.6000000000000001,5.0,L125,45.86,0.49
0.9,4.5,0.6500000000000001,0.5,L0,6.44,0.11
0.9,4.5,0.6500000000000001,0.5,L25,6.28,0.07
0.9,4.5,0.6500000000000001,0.5,L50,6.56,0.14
0.9,4.5,0.6500000000000001,0.5,L75,6.32,0.08
0.9,4.5,0.6500000000000001,0.5,L100,6.36,0.09
0.9,4.5,0.6500000000000001,0.5,L125,6.2,0.05
0.9,4.5,0.6500000000000001,1.0,L0,22.76,0.28
0.9,4.5,0.6500000000000001,1.0,L25,7.5,0.19
0.9,4.5,0.6500000000000001,1.0,L50,6.32,0.12
0.9,4.5,0.6500000000000001,1.0,L75,6.28,0.08
0.9,4.5,0.6500000000000001,1.0,L100,6.36,0.11
0.9,4.5,0.6500000000000001,1.0,L125,6.36,0.12
0.9,4.5,0.6500000000000001,1.5,L0,57.68,0.94
0.9,4.5,0.6500000000000001,1.5,L25,27.42,0.66
0.9,4.5,0.6500000000000001,1.5,L50,14.46,0.48
0.9,4.5,0.6500000000000001,1.5,L75,17.28,0.12
0.9,4.5,0.6500000000000001,1.5,L100,14.46,0.17
0.9,4.5,0.6500000000000001,1.5,L125,12.58,0.17
0.9,4.5,0.6500000000000001,2.0,L0,49.1,0.79
0.9,4.5,0.6500000000000001,2.0,L25,31.7,0.61
0.9,4.5,0.6500000000000001,2.0,L50,18.48,0.75
0.9,4.5,0.6500000000000001,2.0,L75,23.38,0.53
0.9,4.5,0.6500000000000001,2.0,L100,14.6,0.32
0.9,4.5,0.6500000000000001,2.0,L125,17.74,0.3
0.9,4.5,0.6500000000000001,2.5,L0,59.72,0.96
0.9,4.5,0.6500000000000001,2.5,L25,37.88,0.54
0.9,4.5,0.6500000000000001,2.5,L50,29.04,0.55
0.9,4.5,0.6500000000000001,2.5,L75,23.96,0.71
0.9,4.5,0.6500000000000001,2.5,L100,19.46,0.52
0.9,4.5,0.6500000000000001,2.5,L125,13.9,0.51
0.9,4.5,0.6500000000000001,3.0,L0,63.78,1.22
0.9,4.5,0.6500000000000001,3.0,L25,47.36,0.78
0.9,4.5,0.6500000000000001,3.0,L50,42.74,0.71
0.9,4.5,0.6500000000000001,3.0,L75,27.7,0.58
0.9,4.5,0.6500000000000001,3.0,L100,14.98,0.49
0.9,4.5,0.6500000000000001,3.0,L125,19.94,0.68
0.9,4.5,0.6500000000000001,3.5,L0,52.84,0.53
0.9,4.5,0.6500000000000001,3.5,L25,54.38,0.67
0.9,4.5,0.6500000000000001,3.5,L50,41.3,0.47
0.9,4.5,0.6500000000000001,3.5,L75,41.84,0.86
0.9,4.5,0.6500000000000001,3.5,L100,26.52,0.69
0.9,4.5,0.6500000000000001,3.5,L125,19.2,0.58
0.9,4.5,0.6500000000000001,4.0,L0,67.58,0.89
0.9,4.5,0.6500000000000001,4.0,L25,61.88,0.63
0.9,4.5,0.6500000000000001,4.0,L50,51.54,0.61
0.9,4.5,0.6500000000000001,4.0,L75,41.48,0.58
0.9,4.5,0.6500000000000001,4.0,L100,31.94,0.43
0.9,4.5,0.6500000000000001,4.0,L125,29.46,0.73
0.9,4.5,0.6500000000000001,4.5,L0,66.02,0.84
0.9,4.5,0.6500000000000001,4.5,L25,61.86,0.66
0.9,4.5,0.6500000000000001,4.5,L50,53.54,0.59
0.9,4.5,0.6500000000000001,4.5,L75,42.38,0.54
0.9,4.5,0.6500000000000001,4.5,L100,45.98,0.65
0.9,4.5,0.6500000000000001,4.5,L125,40.28,0.52
0.9,4.5,0.6500000000000001,5.0,L0,66.64,0.7
0.9,4.5,0.6500000000000001,5.0,L25,60.04,0.65
0.9,4.5,0.6500000000000001,5.0,L50,60.04,0.58
0.9,4.5,0.6500000000000001,5.0,L75,46.1,0.45
0.9,4.5,0.6500000000000001,5.0,L100,42.32,0.57
0.9,4.5,0.6500000000000001,5.0,L125,49.98,0.72
0.9,4.5,0.7000000000000002,0.5,L0,6.28,0.07
0.9,4.5,0.7000000000000002,0.5,L25,6.36,0.09
0.9,4.5,0.7000000000000002,0.5,L50,6.28,0.07
0.9,4.5,0.7000000000000002,0.5,L75,6.24,0.06
0.9,4.5,0.7000000000000002,0.5,L100,6.4,0.1
0.9,4.5,0.7000000000000002,0.5,L125,6.44,0.11
0.9,4.5,0.7000000000000002,1.0,L0,16.56,0.44
0.9,4.5,0.7000000000000002,1.0,L25,6.16,0.05
0.9,4.5,0.7000000000000002,1.0,L50,6.04,0.04
0.9,4.5,0.7000000000000002,1.0,L75,6.24,0.08
0.9,4.5,0.7000000000000002,1.0,L100,6.32,0.1
0.9,4.5,0.7000000000000002,1.0,L125,6.44,0.11
