init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
0.9,4.5,0.5,0.5,L0,22.22,3.48
0.9,4.5,0.5,0.5,L50,19.84,3.87
0.9,4.5,0.5,0.5,L100,19.76,3.36
0.9,4.5,0.5,1.0,L0,72.12,1.91
0.9,4.5,0.5,1.0,L50,21.36,3.2
0.9,4.5,0.5,1.0,L100,25.64,3.4
0.9,4.5,0.5,1.5,L0,54.8,0.83
0.9,4.5,0.5,1.5,L50,48.98,2.45
0.9,4.5,0.5,1.5,L100,49.9,3.57
0.9,4.5,0.5,2.0,L0,70.04,1.06
0.9,4.5,0.5,2.0,L50,48.76,2.95
0.9,4.5,0.5,2.0,L100,46.64,3.45
0.9,4.5,0.5,2.5,L0,63.96,1.1
0.9,4.5,0.5,2.5,L50,55.98,2.05
0.9,4.5,0.5,2.5,L100,46.76,3.11
0.9,4.5,0.5,3.0,L0,72.7,1.56
0.9,4.5,0.5,3.0,L50,68.88,1.91
0.9,4.5,0.5,3.0,L100,42.92,2.92
0.9,4.5,0.5,3.5,L0,63.04,0.99
0.9,4.5,0.5,3.5,L50,57.62,1.09
0.9,4.5,0.5,3.5,L100,44.04,2.91
0.9,4.5,0.5,4.0,L0,46.46,0.7
0.9,4.5,0.5,4.0,L50,45.76,0.86
0.9,4.5,0.5,4.0,L100,52.8,2.49
0.9,4.5,0.5,4.5,L0,51.44,0.83
0.9,4.5,0.5,4.5,L50,43.52,0.89
0.9,4.5,0.5,4.5,L100,59.7,1.79
0.9,4.5,0.5,5.0,L0,47.52,0.94
0.9,4.5,0.5,5.0,L50,57.48,1.05
0.9,4.5,0.5,5.0,L100,57.04,1.2
0.9,4.5,0.55,0.5,L0,20.1,3.72
0.9,4.5,0.55,0.5,L50,20.04,3.7
0.9,4.5,0.55,0.5,L100,19.8,3.87
0.9,4.5,0.55,1.0,L0,69.7,1.67
0.9,4.5,0.55,1.0,L50,23.0,3.6
0.9,4.5,0.55,1.0,L100,24.18,3.62
0.9,4.5,0.55,1.5,L0,55.74,0.86
0.9,4.5,0.55,1.5,L50,49.28,3.17
0.9,4.5,0.55,1.5,L100,42.64,3.08
0.9,4.5,0.55,2.0,L0,60.04,1.0
0.9,4.5,0.55,2.0,L50,50.82,2.5
0.9,4.5,0.55,2.0,L100,45.96,2.91
0.9,4.5,0.55,2.5,L0,67.9,1.14
0.9,4.5,0.55,2.5,L50,48.22,2.17
0.9,4.5,0.55,2.5,L100,49.04,2.76
0.9,4.5,0.55,3.0,L0,65.9,1.06
0.9,4.5,0.55,3.0,L50,66.64,0.92
0.9,4.5,0.55,3.0,L100,40.48,3.2
0.9,4.5,0.55,3.5,L0,64.54,0.87
0.9,4.5,0.55,3.5,L50,55.92,0.89
0.9,4.5,0.55,3.5,L100,43.86,2.95
0.9,4.5,0.55,4.0,L0,44.18,1.21
0.9,4.5,0.55,4.0,L50,44.44,0.96
0.9,4.5,0.55,4.0,L100,53.98,2.8
0.9,4.5,0.55,4.5,L0,48.78,1.27
0.9,4.5,0.55,4.5,L50,44.12,0.8
0.9,4.5,0.55,4.5,L100,54.86,1.28
0.9,4.5,0.55,5.0,L0,50.04,0.87
0.9,4.5,0.55,5.0,L50,52.76,0.4
0.9,4.5,0.55,5.0,L100,56.02,0.94
0.9,4.5,0.6000000000000001,0.5,L0,19.6,3.19
0.9,4.5,0.6000000000000001,0.5,L50,20.84,3.62
0.9,4.5,0.6000000000000001,0.5,L100,20.68,3.68
0.9,4.5,0.6000000000000001,1.0,L0,65.48,1.91
0.9,4.5,0.6000000000000001,1.0,L50,21.12,3.65
0.9,4.5,0.6000000000000001,1.0,L100,22.32,3.55
0.9,4.5,0.6000000000000001,1.5,L0,59.34,0.8
0.9,4.5,0.6000000000000001,1.5,L50,41.22,2.84
0.9,4.5,0.6000000000000001,1.5,L100,40.42,3.18
0.9,4.5,0.6000000000000001,2.0,L0,59.82,1.0
0.9,4.5,0.6000000000000001,2.0,L50,50.02,2.69
0.9,4.5,0.6000000000000001,2.0,L100,43.88,2.71
0.9,4.5,0.6000000000000001,2.5,L0,70.86,1.17
0.9,4.5,0.6000000000000001,2.5,L50,63.08,2.08
0.9,4.5,0.6000000000000001,2.5,L100,48.42,3.27
0.9,4.5,0.6000000000000001,3.0,L0,67.0,0.9
0.9,4.5,0.6000000000000001,3.0,L50,57.7,1.3
0.9,4.5,0.6000000000000001,3.0,L100,39.7,2.3
0.9,4.5,0.6000000000000001,3.5,L0,62.3,0.85
0.9,4.5,0.6000000000000001,3.5,L50,57.1,1.41
0.9,4.5,0.6000000000000001,3.5,L100,49.14,2.41
