init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.5,1.0,L0,6.6,0.2
2.0,0.5,0.5,1.0,L50,7.0,0.25
2.0,0.5,0.5,1.0,L100,6.6,0.15
2.0,0.5,0.5,1.5,L0,6.8,1.2
2.0,0.5,0.5,1.5,L50,7.6,0.4
2.0,0.5,0.5,1.5,L100,7.4,0.35
2.0,0.5,0.5,2.0,L0,8.2,0.8
2.0,0.5,0.5,2.0,L50,7.4,0.7
2.0,0.5,0.5,2.0,L100,7.8,0.55
2.0,0.5,0.5,2.5,L0,8.0,1.85
2.0,0.5,0.5,2.5,L50,7.2,1.05
2.0,0.5,0.5,2.5,L100,7.8,0.45
2.0,0.5,0.5,3.0,L0,11.2,0.5
2.0,0.5,0.5,3.0,L50,8.6,1.3
2.0,0.5,0.5,3.0,L100,8.6,0.4
2.0,0.5,0.5,3.5,L0,10.8,1.3
2.0,0.5,0.5,3.5,L50,8.6,1.1
2.0,0.5,0.5,3.5,L100,8.6,0.95
2.0,0.5,0.5,4.0,L0,9.0,2.55
2.0,0.5,0.5,4.0,L50,8.0,1.5
2.0,0.5,0.5,4.0,L100,8.4,1.3
2.0,0.5,0.5,4.5,L0,9.6,1.4
2.0,0.5,0.5,4.5,L50,8.0,1.7
2.0,0.5,0.5,4.5,L100,9.2,1.45
2.0,0.5,0.5,5.0,L0,9.0,2.2
2.0,0.5,0.5,5.0,L50,9.4,1.3
2.0,0.5,0.5,5.0,L100,6.8,1.05
2.0,0.5,0.55,1.0,L0,6.6,0.3
2.0,0.5,0.55,1.0,L50,6.8,0.25
2.0,0.5,0.55,1.0,L100,7.0,0.25
2.0,0.5,0.55,1.5,L0,8.2,1.35
2.0,0.5,0.55,1.5,L50,7.2,0.15
2.0,0.5,0.55,1.5,L100,7.0,0.25
2.0,0.5,0.55,2.0,L0,7.4,1.25
2.0,0.5,0.55,2.0,L50,8.8,0.2
2.0,0.5,0.55,2.0,L100,7.6,0.25
2.0,0.5,0.55,2.5,L0,9.4,0.65
2.0,0.5,0.55,2.5,L50,7.6,1.4
2.0,0.5,0.55,2.5,L100,7.6,0.5
2.0,0.5,0.55,3.0,L0,9.8,1.1
2.0,0.5,0.55,3.0,L50,8.0,1.7
2.0,0.5,0.55,3.0,L100,8.0,0.35
2.0,0.5,0.55,3.5,L0,7.8,1.65
2.0,0.5,0.55,3.5,L50,8.4,1.45
2.0,0.5,0.55,3.5,L100,7.8,1.3
2.0,0.5,0.55,4.0,L0,8.6,2.4
