init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
1.0,0.5,0.1,0.1,L0,6.0,0.0
1.0,0.5,0.1,0.1,L50,6.0,0.0
1.0,0.5,0.1,0.1,L100,6.0,0.0
1.0,0.5,0.1,1.1,L0,6.76,1.91
1.0,0.5,0.1,1.1,L50,6.0,0.08
1.0,0.5,0.1,1.1,L100,6.0,0.07
1.0,0.5,0.1,2.1,L0,15.98,4.43
1.0,0.5,0.1,2.1,L50,6.52,1.27
1.0,0.5,0.1,2.1,L100,6.32,0.33
1.0,0.5,0.1,3.1,L0,20.14,5.38
1.0,0.5,0.1,3.1,L50,8.52,2.51
1.0,0.5,0.1,3.1,L100,6.4,1.35
1.0,0.5,0.1,4.1,L0,27.84,5.95
1.0,0.5,0.1,4.1,L50,12.28,3.41
1.0,0.5,0.1,4.1,L100,7.48,2.33
1.0,0.5,0.1,5.1,L0,25.7,7.5
1.0,0.5,0.1,5.1,L50,17.68,3.62
1.0,0.5,0.1,5.1,L100,9.18,3.31
1.0,0.5,0.1,6.1,L0,24.62,6.06
1.0,0.5,0.1,6.1,L50,20.26,6.27
1.0,0.5,0.1,6.1,L100,16.48,4.48
1.0,0.5,0.1,7.1,L0,24.48,7.81
1.0,0.5,0.1,7.1,L50,25.16,5.0
1.0,0.5,0.1,7.1,L100,17.88,4.94
1.0,0.5,0.1,8.1,L0,24.68,6.61
1.0,0.5,0.1,8.1,L50,24.88,4.96
1.0,0.5,0.1,8.1,L100,15.3,5.0
1.0,0.5,0.1,9.1,L0,22.04,6.21
1.0,0.5,0.1,9.1,L50,25.22,5.5
1.0,0.5,0.1,9.1,L100,20.42,6.1
1.0,0.5,0.1,10.1,L0,23.72,6.15
1.0,0.5,0.1,10.1,L50,22.38,5.49
1.0,0.5,0.1,10.1,L100,20.12,4.87
1.0,0.5,0.2,0.1,L0,6.0,0.0
1.0,0.5,0.2,0.1,L50,6.0,0.0
1.0,0.5,0.2,0.1,L100,6.0,0.0
1.0,0.5,0.2,1.1,L0,7.92,1.61
1.0,0.5,0.2,1.1,L50,6.0,0.04
1.0,0.5,0.2,1.1,L100,6.0,0.05
1.0,0.5,0.2,2.1,L0,14.68,3.61
1.0,0.5,0.2,2.1,L50,6.64,1.37
1.0,0.5,0.2,2.1,L100,6.44,0.34
1.0,0.5,0.2,3.1,L0,17.62,4.68
1.0,0.5,0.2,3.1,L50,12.4,2.53
1.0,0.5,0.2,3.1,L100,6.56,1.44
1.0,0.5,0.2,4.1,L0,20.34,7.16
1.0,0.5,0.2,4.1,L50,15.86,3.72
1.0,0.5,0.2,4.1,L100,9.28,2.65
1.0,0.5,0.2,5.1,L0,14.72,6.23
1.0,0.5,0.2,5.1,L50,17.72,3.48
1.0,0.5,0.2,5.1,L100,12.66,3.09
1.0,0.5,0.2,6.1,L0,24.38,6.47
1.0,0.5,0.2,6.1,L50,19.14,3.87
1.0,0.5,0.2,6.1,L100,18.34,3.4
1.0,0.5,0.2,7.1,L0,17.48,7.14
1.0,0.5,0.2,7.1,L50,20.46,4.68
1.0,0.5,0.2,7.1,L100,13.76,5.0
1.0,0.5,0.2,8.1,L0,16.6,6.09
1.0,0.5,0.2,8.1,L50,18.22,5.87
1.0,0.5,0.2,8.1,L100,18.14,4.2
1.0,0.5,0.2,9.1,L0,19.62,6.81
1.0,0.5,0.2,9.1,L50,15.42,5.29
1.0,0.5,0.2,9.1,L100,17.96,4.19
1.0,0.5,0.2,10.1,L0,21.98,5.82
1.0,0.5,0.2,10.1,L50,23.82,5.02
1.0,0.5,0.2,10.1,L100,21.16,3.77
1.0,0.5,0.30000000000000004,0.1,L0,6.0,0.0
1.0,0.5,0.30000000000000004,0.1,L50,6.0,0.0
1.0,0.5,0.30000000000000004,0.1,L100,6.0,0.0
1.0,0.5,0.30000000000000004,1.1,L0,8.64,1.34
1.0,0.5,0.30000000000000004,1.1,L50,6.0,0.03
1.0,0.5,0.30000000000000004,1.1,L100,6.0,0.04
1.0,0.5,0.30000000000000004,2.1,L0,11.52,3.24
1.0,0.5,0.30000000000000004,2.1,L50,7.44,1.56
1.0,0.5,0.30000000000000004,2.1,L100,6.56,0.28
1.0,0.5,0.30000000000000004,3.1,L0,15.02,3.75
1.0,0.5,0.30000000000000004,3.1,L50,11.64,2.76
1.0,0.5,0.30000000000000004,3.1,L100,6.72,1.19
1.0,0.5,0.30000000000000004,4.1,L0,14.96,5.21
1.0,0.5,0.30000000000000004,4.1,L50,11.26,3.14
1.0,0.5,0.30000000000000004,4.1,L100,10.94,2.3
1.0,0.5,0.30000000000000004,5.1,L0,14.76,5.64
1.0,0.5,0.30000000000000004,5.1,L50,13.84,3.54
1.0,0.5,0.30000000000000004,5.1,L100,13.24,3.19
1.0,0.5,0.30000000000000004,6.1,L0,17.02,5.09
1.0,0.5,0.30000000000000004,6.1,L50,18.56,5.16
1.0,0.5,0.30000000000000004,6.1,L100,14.62,2.92
1.0,0.5,0.30000000000000004,7.1,L0,14.34,5.37
1.0,0.5,0.30000000000000004,7.1,L50,13.98,3.83
1.0,0.5,0.30000000000000004,7.1,L100,11.68,3.96
