perturbation_amp_tuning_factor,perturbation_amp_noise_scale,train_mean_ratio,test_mean_ratio,sim_mean_ratio
0.04,0.01,0.901272325,0.983858694,0.893939394
0.04,0.01,0.965694565,0.919436454,0.893939394
0.04,0.01,0.961991477,0.923139543,0.893939394
0.04,0.01,1.011369953,0.873761067,0.893939394
0.04,0.01,0.939835727,0.945295292,0.893939394
0.04,0.01,0.984058408,0.901072611,0.893939394
0.04,0.01,0.94715182,0.9379792,0.893939394
0.04,0.01,0.962036366,0.923094653,0.893939394
0.04,0.01,0.877132897,1.007998123,0.893939394
0.04,0.01,0.947130672,0.938000348,0.893939394
0.04,0.01,0.957715009,0.927416011,0.893939394
0.04,0.01,0.914391892,0.970739128,0.893939394
0.18,0.01,0.860237679,1.02489334,0.830985915
0.04,0.01,1.010523477,0.874607542,0.893939394
0.04,0.01,0.910929306,0.974201713,0.893939394
0.04,0.01,1.011845818,0.873285201,0.893939394
0.04,0.01,0.866824078,1.018306942,0.893939394
0.04,0.01,0.989195248,0.895935772,0.893939394
0.04,0.01,0.944364814,0.940766205,0.893939394
0.04,0.01,0.94753693,0.93759409,0.893939394
0.04,0.01,0.997448801,0.887682219,0.893939394
0.04,0.01,1.024489519,0.8606415,0.893939394
0.04,0.01,1.032372914,0.852758106,0.893939394
0.04,0.01,1.03268598,0.85244504,0.893939394
0.04,0.01,0.882160269,1.00297075,0.893939394
0.04,0.01,0.970426062,0.914704958,0.893939394
0.04,0.01,0.971029598,0.914101422,0.893939394
0.04,0.01,1.011773774,0.873357245,0.893939394
0.04,0.01,0.94835162,0.9367794,0.893939394
0.04,0.01,0.882564091,1.002566929,0.893939394
0.04,0.01,0.936870156,0.948260864,0.893939394
0.04,0.01,0.981994944,0.903136076,0.893939394
0.04,0.01,0.951744936,0.933386084,0.893939394
0.04,0.01,0.868229943,1.016901077,0.893939394
0.04,0.01,0.957099271,0.928031749,0.893939394
0.04,0.01,0.917066994,0.968064026,0.893939394
0.04,0.01,0.89642987,0.98870115,0.893939394
0.04,0.01,0.922297882,0.962833137,0.893939394
0.18,0.01,0.834683211,1.050447809,0.830985915
0.04,0.01,1.042664344,0.842466675,0.893939394
0.04,0.01,0.969865696,0.915265323,0.893939394
0.04,0.01,0.915220433,0.969910586,0.893939394
0.04,0.01,0.887332462,0.997798557,0.893939394
0.04,0.01,0.931096091,0.954034928,0.893939394
0.04,0.01,0.942315216,0.942815803,0.893939394
0.04,0.01,0.990942788,0.894188232,0.893939394
0.04,0.01,0.94753693,0.93759409,0.893939394
0.04,0.01,0.981084821,0.904046198,0.893939394
0.04,0.01,0.942315216,0.942815803,0.893939394
0.04,0.01,0.986614786,0.898516234,0.893939394
0.04,0.01,0.932951827,0.952179193,0.893939394
0.04,0.01,1.014539632,0.870591388,0.893939394
0.04,0.01,1.022019205,0.863111814,0.893939394
0.04,0.01,1.045420436,0.839710584,0.893939394
0.04,0.01,0.887297109,0.997833911,0.893939394
0.04,0.01,0.974442216,0.910688803,0.893939394
0.04,0.01,0.938789279,0.946341741,0.893939394
0.04,0.01,0.967513426,0.917617594,0.893939394
0.04,0.01,0.942097721,0.943033299,0.893939394
0.04,0.01,0.93706987,0.94806115,0.893939394
0.04,0.01,0.892763656,0.992367364,0.893939394
0.04,0.01,0.999756182,0.885374838,0.893939394
0.04,0.01,0.88855565,0.99657537,0.893939394
0.04,0.01,0.895279836,0.989851184,0.893939394
0.04,0.01,0.957080559,0.92805046,0.893939394
0.04,0.01,0.965694565,0.919436454,0.893939394
0.04,0.01,0.898306754,0.986824266,0.893939394
0.04,0.01,0.910405087,0.974725933,0.893939394
0.04,0.01,0.956551108,0.928579912,0.893939394
0.04,0.01,0.905498113,0.979632907,0.893939394
0.04,0.01,0.977867135,0.907263885,0.893939394
0.18,0.01,0.857876234,1.027254786,0.830985915
0.04,0.01,0.903737947,0.981393072,0.893939394
0.04,0.01,0.916119997,0.969011023,0.893939394
0.04,0.01,0.933816083,0.951314936,0.893939394
0.04,0.01,0.950098681,0.935032339,0.893939394
0.04,0.01,0.935738354,0.949392665,0.893939394
