init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
0.9,4.5,0.5,1.0,L0,65.34,2.23
0.9,4.5,0.5,1.0,L50,27.6,3.94
0.9,4.5,0.5,1.0,L100,23.62,3.43
0.9,4.5,0.5,1.5,L0,58.4,0.73
0.9,4.5,0.5,1.5,L50,42.46,2.79
0.9,4.5,0.5,1.5,L100,48.24,3.55
0.9,4.5,0.5,2.0,L0,65.14,1.07
0.9,4.5,0.5,2.0,L50,53.2,2.15
0.9,4.5,0.5,2.0,L100,45.18,3.57
0.9,4.5,0.5,2.5,L0,72.74,0.94
0.9,4.5,0.5,2.5,L50,52.84,2.5
0.9,4.5,0.5,2.5,L100,48.32,3.61
0.9,4.5,0.5,3.0,L0,71.46,1.04
0.9,4.5,0.5,3.0,L50,60.82,1.7
0.9,4.5,0.5,3.0,L100,43.08,3.03
0.9,4.5,0.5,3.5,L0,70.48,1.17
0.9,4.5,0.5,3.5,L50,64.78,1.45
0.9,4.5,0.5,3.5,L100,41.38,2.42
0.9,4.5,0.5,4.0,L0,53.8,1.03
0.9,4.5,0.5,4.0,L50,43.38,0.92
0.9,4.5,0.5,4.0,L100,54.86,2.59
0.9,4.5,0.5,4.5,L0,45.58,0.95
0.9,4.5,0.5,4.5,L50,41.92,0.94
0.9,4.5,0.5,4.5,L100,59.38,1.38
0.9,4.5,0.5,5.0,L0,50.08,1.07
0.9,4.5,0.5,5.0,L50,55.36,0.79
0.9,4.5,0.5,5.0,L100,60.96,1.57
0.9,4.5,0.55,1.0,L0,66.3,2.06
0.9,4.5,0.55,1.0,L50,26.16,3.91
0.9,4.5,0.55,1.0,L100,23.46,3.6
0.9,4.5,0.55,1.5,L0,50.2,0.72
0.9,4.5,0.55,1.5,L50,47.86,3.42
0.9,4.5,0.55,1.5,L100,45.9,3.69
0.9,4.5,0.55,2.0,L0,60.94,0.83
0.9,4.5,0.55,2.0,L50,41.7,2.41
0.9,4.5,0.55,2.0,L100,44.8,2.86
