init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
1.0,4.5,0.5,1.0,L0,7.46,0.56
1.0,4.5,0.5,1.0,L50,6.0,0.03
1.0,4.5,0.5,1.0,L100,6.0,0.02
1.0,4.5,0.5,1.5,L0,38.98,0.67
1.0,4.5,0.5,1.5,L50,6.0,0.31
1.0,4.5,0.5,1.5,L100,6.0,0.21
1.0,4.5,0.5,2.0,L0,58.76,0.55
1.0,4.5,0.5,2.0,L50,11.08,1.03
1.0,4.5,0.5,2.0,L100,7.6,0.39
1.0,4.5,0.5,2.5,L0,68.7,0.85
1.0,4.5,0.5,2.5,L50,28.28,1.02
1.0,4.5,0.5,2.5,L100,14.7,0.61
1.0,4.5,0.5,3.0,L0,64.98,0.82
1.0,4.5,0.5,3.0,L50,47.76,0.86
1.0,4.5,0.5,3.0,L100,18.14,0.99
1.0,4.5,0.5,3.5,L0,67.9,0.98
1.0,4.5,0.5,3.5,L50,51.16,0.88
1.0,4.5,0.5,3.5,L100,32.24,1.13
1.0,4.5,0.5,4.0,L0,76.46,1.11
1.0,4.5,0.5,4.0,L50,52.06,0.61
1.0,4.5,0.5,4.0,L100,39.88,1.38
1.0,4.5,0.5,4.5,L0,62.1,0.95
1.0,4.5,0.5,4.5,L50,53.96,0.63
1.0,4.5,0.5,4.5,L100,50.24,1.4
1.0,4.5,0.5,5.0,L0,66.66,1.14
1.0,4.5,0.5,5.0,L50,54.44,1.05
1.0,4.5,0.5,5.0,L100,54.3,0.68
1.0,4.5,0.55,1.0,L0,9.66,0.6
1.0,4.5,0.55,1.0,L50,6.0,0.04
1.0,4.5,0.55,1.0,L100,6.0,0.05
1.0,4.5,0.55,1.5,L0,45.14,0.64
1.0,4.5,0.55,1.5,L50,6.0,0.25
1.0,4.5,0.55,1.5,L100,6.0,0.16
1.0,4.5,0.55,2.0,L0,51.9,0.61
1.0,4.5,0.55,2.0,L50,10.62,0.58
1.0,4.5,0.55,2.0,L100,7.12,0.36
1.0,4.5,0.55,2.5,L0,65.86,0.87
1.0,4.5,0.55,2.5,L50,28.54,0.87
1.0,4.5,0.55,2.5,L100,13.5,0.83
1.0,4.5,0.55,3.0,L0,73.1,0.79
1.0,4.5,0.55,3.0,L50,45.18,0.7
1.0,4.5,0.55,3.0,L100,15.0,0.81
1.0,4.5,0.55,3.5,L0,62.38,0.68
1.0,4.5,0.55,3.5,L50,44.92,0.48
1.0,4.5,0.55,3.5,L100,23.16,1.0
1.0,4.5,0.55,4.0,L0,58.86,0.85
1.0,4.5,0.55,4.0,L50,54.08,0.65
1.0,4.5,0.55,4.0,L100,44.88,1.47
1.0,4.5,0.55,4.5,L0,58.7,0.84
1.0,4.5,0.55,4.5,L50,57.18,0.81
1.0,4.5,0.55,4.5,L100,47.34,0.9
1.0,4.5,0.55,5.0,L0,64.24,1.06
1.0,4.5,0.55,5.0,L50,59.26,0.83
1.0,4.5,0.55,5.0,L100,49.28,0.78
1.0,4.5,0.6000000000000001,1.0,L0,7.62,0.65
1.0,4.5,0.6000000000000001,1.0,L50,6.0,0.02
1.0,4.5,0.6000000000000001,1.0,L100,6.0,0.04
1.0,4.5,0.6000000000000001,1.5,L0,35.12,0.44
1.0,4.5,0.6000000000000001,1.5,L50,6.0,0.12
1.0,4.5,0.6000000000000001,1.5,L100,6.0,0.24
