Time,Eye,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,Confidence,Attention,Attention Details
0.01343918,Left,0.01550299,2.291489,0.04981782,0.3024659,0.5525627,4.96016,1.00637,-0.1080693,-0.05710699,0.9987407,0.9980469,1,Text,acticle_2
0.01343918,Right,0.01550299,2.291489,0.04981782,0.0333968,0.563407,4.968044,1.011771,-0.09770605,-0.05707879,0.9987428,0.9980469,1,Text,acticle_2
0.03037071,Left,0.0158363,2.291386,0.0505166,0.3432157,0.4952741,4.963558,1.00617,-0.0988325,-0.06659894,0.9994072,0.9980469,1,Text,acticle_2
0.03037071,Right,0.0158363,2.291386,0.0505166,0.07406138,0.5070116,4.973676,1.011161,-0.08844811,-0.06657717,0.9994068,0.9980469,1,Text,acticle_2
0.04200745,Left,0.0161671,2.29127,0.05125328,0.3432157,0.4952741,4.963558,1.006765,-0.09914386,-0.06499401,0.9993436,0.9980469,1,Text,acticle_2
0.04200745,Right,0.0161671,2.29127,0.05125328,0.07406138,0.5070116,4.973676,1.011759,-0.08879183,-0.06496146,0.9993447,0.9980469,1,Text,acticle_2
0.06868935,Left,0.01684869,2.29096,0.05293156,0.3005599,0.4893589,4.96691,1.006446,-0.1086433,-0.06414099,0.9983359,0.9980469,1,Text,acticle_2
0.06868935,Right,0.01684869,2.29096,0.05293156,0.03156599,0.5012807,4.974708,1.011924,-0.09828757,-0.06409784,0.9983494,0.9980469,1,Text,acticle_2
0.08362198,Left,0.01720449,2.29086,0.05384239,0.3005599,0.4893589,4.96691,1.008118,-0.1098429,-0.06300133,0.9990488,0.9980469,1,Text,acticle_2
0.08362198,Right,0.01720449,2.29086,0.05384239,0.03156599,0.5012807,4.974708,1.013592,-0.09957623,-0.06295112,0.9990578,0.9980469,1,Text,acticle_2
0.1101036,Left,0.01788466,2.29055,0.05567004,0.3146609,0.508879,4.964074,1.006758,-0.1091568,-0.05690903,0.9980384,0.9980469,1,Text,acticle_2
0.1101036,Right,0.01788466,2.29055,0.05567004,0.04565582,0.5213825,4.972532,1.012105,-0.09881277,-0.05687157,0.9980612,0.9980469,1,Text,acticle_2
0.1249657,Left,0.018128,2.290305,0.05649261,0.3147365,0.5044945,4.964517,1.006648,-0.110301,-0.056521,0.9991057,0.9980469,1,Text,acticle_2
0.1249657,Right,0.018128,2.290305,0.05649261,0.04579783,0.5175937,4.972927,1.012069,-0.09995228,-0.05649683,0.9991226,0.9980469,1,Text,acticle_2
0.1522408,Left,0.01867609,2.289805,0.05825147,0.3209318,0.484459,4.966115,1.005601,-0.1125874,-0.05627144,0.9980797,0.9980469,1,Text,acticle_2
0.1522408,Right,0.01867609,2.289805,0.05825147,0.05206987,0.4981753,4.974848,1.011101,-0.1021855,-0.05624977,0.9981214,0.9980469,1,Text,acticle_2
0.1668968,Left,0.01894463,2.289503,0.05918474,0.3209318,0.484459,4.966115,1.007531,-0.1151332,-0.05349757,0.9989714,0.9980469,1,Text,acticle_2
0.1668968,Right,0.01894463,2.289503,0.05918474,0.05206987,0.4981753,4.974848,1.012999,-0.1048306,-0.05346863,0.9989948,0.9980469,1,Text,acticle_2
0.1811943,Left,0.01911398,2.289165,0.06009437,0.3209318,0.484459,4.966115,1.008564,-0.1177433,-0.05044451,0.9989837,0.9980469,1,Text,acticle_2
0.1811943,Right,0.01911398,2.289165,0.06009437,0.05206987,0.4981753,4.974848,1.014015,-0.1074937,-0.05040705,0.9990092,0.9980469,1,Text,acticle_2
0.2077847,Left,0.01943636,2.288537,0.06203733,0.3374423,0.4621075,4.967151,1.007209,-0.1188347,-0.04960019,0.9978033,0.9980469,1,Text,acticle_2
0.2077847,Right,0.01943636,2.288537,0.06203733,0.0686632,0.4765188,4.976768,1.012703,-0.1085149,-0.04956562,0.9978571,0.9980469,1,Text,acticle_2
0.2227592,Left,0.01954591,2.288342,0.06299487,0.3564312,0.4330766,4.968441,1.006945,-0.1168864,-0.05401301,0.998882,0.9980469,1,Text,acticle_2
0.2227592,Right,0.01954591,2.288342,0.06299487,0.08776807,0.4482613,4.979092,1.012507,-0.1065541,-0.05399351,0.9989085,0.9980469,1,Text,acticle_2
0.2499294,Left,0.019461,2.287988,0.06480957,0.3564312,0.4330766,4.968441,1.008069,-0.1222861,-0.05080464,0.9977496,0.9980469,1,Text,acticle_2
0.2499294,Right,0.019461,2.287988,0.06480957,0.08776807,0.4482613,4.979092,1.013611,-0.1120115,-0.0507761,0.997808,0.9980469,1,Text,acticle_2
0.2646637,Left,0.01929683,2.287848,0.06566404,0.373581,0.7527841,4.928869,1.006725,-0.1244532,0.01445296,0.9988554,0.9980469,1,Text,acticle_2
0.2646637,Right,0.01929683,2.287848,0.06566404,0.1050134,0.7665043,4.939782,1.012576,-0.114114,0.0144643,0.9988841,0.9980469,1,Text,acticle_2
0.2900963,Left,0.01882924,2.287686,0.06734896,0.3839627,1.005162,4.88285,40.25919,-3.934407,2.703606,39.97526,0.9980469,1,BG,BG
